,drug_name,Deregulated nutrient sensing count,Deregulated nutrient sensing count marg,Deregulated nutrient sensing,Deregulated nutrient sensing marg,Cmap pAGE Deregulated nutrient sensing level1,Cmap pAGE Deregulated nutrient sensing level2,Cmap pAGE Deregulated nutrient sensing level3,Cmap pAGE Deregulated nutrient sensing level4,Cmap pAGE Deregulated nutrient sensing level5,Cmap pAGE Deregulated nutrient sensing level1 z_score,Cmap pAGE Deregulated nutrient sensing level2 z_score,Cmap pAGE Deregulated nutrient sensing level3 z_score,Cmap pAGE Deregulated nutrient sensing level4 z_score,Cmap pAGE Deregulated nutrient sensing level5 z_score
27,teprotumumab,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
28,chromic chloride,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
29,bms-754807,5,0,"[1, 2, 3, 4, 5]",[],0.1428571428571428,0.0909090909090909,0.0769230769230769,0.0526315789473684,-0.1063829787234042,0.3779644730092272,0.3015113445777636,0.2773500981126146,0.2294157338705617,-0.7293249574894728
30,"5-(5-chloro-7h-pyrrolo[2,3-d]pyrimidin-4-yl)-4,5,6,7-tetrahydro-1h-imidazo[4,5-c]pyridine",5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
31,xl765,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
32,"inositol 1,3,4,5-tetrakisphosphate",5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
33,pilaralisib,5,0,"[1, 2, 3, 4, 5]",[],0.4285714285714285,0.0909090909090909,0.2307692307692307,0.1578947368421052,-0.0638297872340425,1.1338934190276817,0.3015113445777636,0.8320502943378437,0.6882472016116853,-0.4375949744936836
34,amelubant,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
35,"n-[2-(5-methyl-4h-1,2,4-triazol-3-yl)phenyl]-7h-pyrrolo[2,3-d]pyrimidin-4-amine",5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
36,acarbose derived hexasaccharide,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
37,icodextrin,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
38,somatrem,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
39,mecasermin,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
40,"4-o-(4,6-dideoxy-4-{[4,5,6-trihydroxy-3-(hydroxymethyl)cyclohex-2-en-1-yl]amino}-beta-d-lyxo-hexopyranosyl)-alpha-d-erythro-hexopyranose",5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
41,"4,6-dideoxy-4-{[4-[(4-o-hexopyranosylhexopyranosyl)oxy]-5,6-dihydroxy-3-(hydroxymethyl)cyclohex-2-en-1-yl]amino}hexopyranosyl-(1->4)hexopyranosyl-(1->4)hexopyranose",5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
42,insulin detemir,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
43,5beta-dihydrotestosterone,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
44,"n,n-bis(3-(d-gluconamido)propyl)deoxycholamide",5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
45,"4,6-dideoxy-4-{[4,5,6-trihydroxy-3-(hydroxymethyl)cyclohex-2-en-1-yl]amino}-alpha-d-lyxo-hexopyranosyl-(1->4)-alpha-d-threo-hexopyranosyl-(1->6)-alpha-l-threo-hexopyranose",5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
46,insulin glulisine,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
47,archexin,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
48,perifosine,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
49,selisistat,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
50,insulin degludec,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
51,linsitinib,5,0,"[1, 2, 3, 4, 5]",[],0.1428571428571428,0.0909090909090909,0.2307692307692307,0.1578947368421052,-0.1489361702127659,0.3779644730092272,0.3015113445777636,0.8320502943378437,0.6882472016116853,-1.0210549404852618
52,sr 121463,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
53,"n-[(1s)-2-amino-1-phenylethyl]-5-(1h-pyrrolo[2,3-b]pyridin-4-yl)thiophene-2-carboxamide",4,1,"[2, 3, 4, 5]",[1],,,,,,0.0,0.0,0.0,0.0,0.0
54,(2s)-1-(1h-indol-3-yl)-3-{[5-(3-methyl-1h-indazol-5-yl)pyridin-3-yl]oxy}propan-2-amine,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
55,etanercept,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
56,regorafenib,4,1,"[1, 2, 3, 4]",[5],-0.1428571428571428,-0.0909090909090909,-0.0769230769230769,0.0526315789473684,-0.0212765957446808,-0.3779644730092272,-0.3015113445777636,-0.2773500981126146,0.2294157338705617,-0.1458649914978945
57,2-({6-[(3-chlorophenyl)amino]-9-isopropyl-9h-purin-2-yl}amino)ethanol,4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
58,"4-({(2r,5s)-2,5-dimethyl-4-[(2r)-3,3,3-trifluoro-2-hydroxy-2-methylpropanoyl]piperazin-1-yl}carbonyl)benzonitrile",4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
59,fg-2216,4,1,"[1, 3, 4, 5]",[2],,,,,,0.0,0.0,0.0,0.0,0.0
60,"4,6-dideoxy-4-amino-alpha-d-glucose",4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
61,4-(4-chlorophenyl)-4-[4-(1h-pyrazol-4-yl)phenyl]piperidine,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
62,abciximab,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
63,pimasertib,4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
64,human immunoglobulin g,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
65,hydroxyproline,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
66,tosedostat,4,0,"[1, 2, 3, 4]",[],-0.1428571428571428,0.0909090909090909,0.0769230769230769,0.0526315789473684,0.0638297872340425,-0.3779644730092272,0.3015113445777636,0.2773500981126146,0.2294157338705617,0.4375949744936836
67,2-{[2-oxo-2-(1-piperidinyl)ethyl]sulfanyl}-6-(trifluoromethyl)-4(1h)-pyrimidinone,4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
68,gmx1777,4,0,"[1, 2, 3, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
69,vadadustat,4,1,"[1, 3, 4, 5]",[2],,,,,,0.0,0.0,0.0,0.0,0.0
70,"n-[4-hydroxymethyl-cyclohexan-6-yl-1,2,3-triol]-4,6-dideoxy-4-aminoglucopyranoside",4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
71,sb-559448,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
72,nn344,4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
73,romiplostim,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
74,chs-828,4,0,"[1, 2, 3, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
75,1-hexadecanosulfonic acid,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
76,carbazole butanoic acid,4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
77,"5-(3-carbamoylbenzyl)-5,6,7,8,9,10-hexahydrocyclohepta[b]indole-4-carboxylic acid",4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
78,alemtuzumab,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
79,thrombopoietin,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
80,"9-benzyl-2,3,4,9-tetrahydro-1h-carbazole-8-carboxylic acid",4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
81,burosumab,4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
82,technetium tc-99m arcitumomab,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
83,"cysteine-methylene-carbamoyl-1,10-phenanthroline",4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
84,pamidronic acid,4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
85,catumaxomab,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
86,sarilumab,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
87,resatorvid,4,0,"[1, 2, 3, 4]",[],0.4285714285714285,0.0909090909090909,0.0769230769230769,0.1578947368421052,0.0638297872340425,1.1338934190276817,0.3015113445777636,0.2773500981126146,0.6882472016116853,0.4375949744936836
88,"(2r)-n-{4-[ethyl(phenyl)sulfamoyl]-2-methylphenyl}-3,3,3-trifluoro-2-hydroxy-2-methylpropanamide",4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
89,nipecotic acid,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
90,gaboxadol,4,0,"[2, 3, 4, 5]",[],0.4285714285714285,0.0909090909090909,-0.0769230769230769,-0.0526315789473684,0.2340425531914893,1.1338934190276817,0.3015113445777636,-0.2773500981126146,-0.2294157338705617,1.60451490647684
91,amrinone,4,0,"[1, 2, 3, 5]",[],0.1428571428571428,0.0909090909090909,0.2307692307692307,0.0526315789473684,0.1063829787234042,0.3779644730092272,0.3015113445777636,0.8320502943378437,0.2294157338705617,0.7293249574894728
92,leukotriene b4,4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
93,staurosporine,4,1,"[1, 2, 3, 4]",[5],-0.1428571428571428,0.0909090909090909,0.0769230769230769,-0.0526315789473684,0.1063829787234042,-0.3779644730092272,0.3015113445777636,0.2773500981126146,-0.2294157338705617,0.7293249574894728
94,"4-(2-amino-1,3-thiazol-4-yl)phenol",4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
95,ertiprotafib,4,0,"[1, 2, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
96,rimiducid,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
97,"d-gluco-2,5-anhydro-1-deoxy-1-phosphonohexitol-6-phosphate",4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
98,isoquinoline-5-sulfonic acid (2-(2-(4-chlorobenzyloxy)ethylamino)ethyl)amide,4,1,"[2, 3, 4, 5]",[1],,,,,,0.0,0.0,0.0,0.0,0.0
99,dg051,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
100,(2s)-2-amino-5-oxo-5-[(4-phenylmethoxyphenyl)amino]pentanoic acid,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
101,kelatorphan,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
102,ljp 1082,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
103,coenzyme a,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
104,bevacizumab,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
105,1-(4-thiophen-2-ylphenyl)methanamine,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
106,linifanib,4,0,"[2, 3, 4, 5]",[],-0.1428571428571428,-0.4545454545454545,-0.2307692307692307,-0.2631578947368421,-0.0638297872340425,-0.3779644730092272,-1.507556722888818,-0.8320502943378437,-1.1470786693528088,-0.4375949744936836
107,5-[2-(1h-pyrrol-1-yl)ethoxy]-1h-indole,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
108,"1-(2,2'-bithiophen-5-yl)methanamine",4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
109,n-(pyridin-3-ylmethyl)aniline,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
110,daclizumab,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
111,"5-[2-(4-hydroxyphenyl)ethyl]benzene-1,3-diol",4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
112,romosozumab,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
113,cambinol,4,0,"[1, 2, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
114,spaglumic acid,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
115,n-(2-aminoethyl)-2-{3-chloro-4-[(4-isopropylbenzyl)oxy]phenyl} acetamide,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
116,lm-609,3,1,"[1, 4, 5]",[2],,,,,,0.0,0.0,0.0,0.0,0.0
117,"3-(hydroxymethyl)-1-methyl-5-(2-methylaziridin-1-yl)-2-phenyl-1h-indole-4,7-dione",3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
118,"bishydroxy[2h-1-benzopyran-2-one,1,2-benzopyrone]",3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
119,tauroursodeoxycholic acid,3,0,"[2, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
120,tropifexor,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
121,alsterpaullone,3,0,"[3, 4, 5]",[],-0.1428571428571428,-0.0909090909090909,-0.0769230769230769,0.0526315789473684,0.0212765957446808,-0.3779644730092272,-0.3015113445777636,-0.2773500981126146,0.2294157338705617,0.1458649914978945
122,6-bromoindirubin-3'-oxime,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
123,"(7s)-2-(2-aminopyrimidin-4-yl)-7-(2-fluoroethyl)-1,5,6,7-tetrahydro-4h-pyrrolo[3,2-c]pyridin-4-one",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
124,5-hydroxymethyl-chonduritol,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
125,labetuzumab,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
126,3-phosphono-d-alanine,3,1,"[2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
127,mitemcinal,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
128,daporinad,3,1,"[1, 2, 5]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
129,px-478,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
130,fexaramine,3,1,"[1, 2, 3]",[4],0.1428571428571428,0.2727272727272727,0.0769230769230769,0.1578947368421052,-0.1063829787234042,0.3779644730092272,0.9045340337332908,0.2773500981126146,0.6882472016116853,-0.7293249574894728
131,"hg9a-9, nonanoyl-n-hydroxyethylglucamide",3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
132,afimoxifene,3,2,"[1, 2, 3]","[4, 5]",,,,,,0.0,0.0,0.0,0.0,0.0
133,"inositol-(1,3,4,5,6)-pentakisphosphate",3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
134,ph-284,3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
135,d-proline,3,1,"[2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
136,alanosine,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
137,aer001,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
138,fradafiban,3,0,"[1, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
139,"5-[1-(4-methoxyphenyl)-1h-benzimidazol-6-yl]-1,3,4-oxadiazole-2(3h)-thione",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
140,anthralin,3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
141,"3-[(4-fluorophenyl)sulfanyl]-n-(4-methyl-1,3-thiazol-2-yl)-6-[(4-methyl-4h-1,2,4-triazol-3-yl)sulfanyl]pyridine-2-carboxamide",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
142,"2-(1,3-benzodioxol-5-yl)-5-[(3-fluoro-4-methoxybenzyl)sulfanyl]-1,3,4-oxadiazole",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
143,sb-409513,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
144,es-936,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
145,ar-ao-14418,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
146,rh-1,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
147,n-{4-methyl-3-[(3-pyrimidin-4-ylpyridin-2-yl)amino]phenyl}-3-(trifluoromethyl)benzamide,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
148,xl820,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
149,dasatinib,3,1,"[1, 2, 4]",[3],0.1428571428571428,-0.0909090909090909,-0.2307692307692307,-0.1578947368421052,-0.1914893617021276,0.3779644730092272,-0.3015113445777636,-0.8320502943378437,-0.6882472016116853,-1.312784923481051
150,"(5r)-5-(4-{[(2r)-6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydro-2h-chromen-2-yl]methoxy}benzyl)-1,3-thiazolidine-2,4-dione",3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
151,cilazaprilat,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
152,ezogabine,3,1,"[2, 3, 4]",[1],,,,,,0.0,0.0,0.0,0.0,0.0
153,denibulin,3,1,"[2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
154,nidufexor,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
155,somatotropin,3,1,"[1, 2, 5]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
156,"3-[3-(2,3-dihydroxy-propylamino)-phenyl]-4-(5-fluoro-1-methyl-1h-indol-3-yl)-pyrrole-2,5-dione",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
157,"5-methoxy-1,2-dimethyl-3-(phenoxymethyl)indole-4,7-dione",3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
158,lipegfilgrastim,3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
159,tideglusib,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
160,(6r)-folinic acid,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
161,"3-hydroxymethyl-5-aziridinyl-1methyl-2-[1h-indole-4,7-dione]-propanol",3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
162,3-oxiran-2ylalanine,3,1,"[2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
163,duroquinone,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
164,fructose-6-phosphate,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
165,wortmannin,3,1,"[2, 4, 5]",[3],-0.4285714285714285,-0.0909090909090909,0.0769230769230769,0.1578947368421052,0.1063829787234042,-1.1338934190276817,-0.3015113445777636,0.2773500981126146,0.6882472016116853,0.7293249574894728
166,(4-fluorophenyl)(pyridin-4-yl)methanone,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
167,enoximone,3,0,"[1, 2, 3]",[],-0.1428571428571428,-0.4545454545454545,-0.3846153846153846,-0.3684210526315789,0.0638297872340425,-0.3779644730092272,-1.507556722888818,-1.3867504905630728,-1.6059101370939324,0.4375949744936836
168,vatalanib,3,0,"[2, 3, 4]",[],-0.4285714285714285,-0.4545454545454545,-0.3846153846153846,-0.2631578947368421,-0.0638297872340425,-1.1338934190276817,-1.507556722888818,-1.3867504905630728,-1.1470786693528088,-0.4375949744936836
169,l-2-amino-4-methoxy-cis-but-3-enoic acid,3,1,"[2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
170,"2-amino-4-fluoro-5-[(1-methyl-1h-imidazol-2-yl)sulfanyl]-n-(1,3-thiazol-2-yl)benzamide",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
171,ridaforolimus,3,1,"[2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
172,arginineamide,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
173,arachidonic acid,3,1,"[1, 2, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
174,n-methyl-1-(2-thiophen-2-ylphenyl)methanamine,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
175,"(1r,2r,3s,4r,6s)-3,4,6-trihydroxy-5-{[(s)-hydroxy(3-hydroxy-2-oxopropoxy)phosphoryl]oxy}-1,2-cyclohexanediyl bis[dihydrogen (phosphate)]",3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
176,n-benzyl-4-[(2r)-pyrrolidin-2-ylmethoxy]aniline,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
