,drug_name,Telomere attrition count,Telomere attrition count marg,Telomere attrition,Telomere attrition marg,Cmap pAGE Telomere attrition level1,Cmap pAGE Telomere attrition level2,Cmap pAGE Telomere attrition level3,Cmap pAGE Telomere attrition level4,Cmap pAGE Telomere attrition level5,Cmap pAGE Telomere attrition level1 z_score,Cmap pAGE Telomere attrition level2 z_score,Cmap pAGE Telomere attrition level3 z_score,Cmap pAGE Telomere attrition level4 z_score,Cmap pAGE Telomere attrition level5 z_score
41,xl281,3,0,"[1, 2, 3]",[],,,,,,0,0,0.0,0.0,0.0
42,"4-chloro-6-{5-[(2-morpholin-4-ylethyl)amino]-1,2-benzisoxazol-3-yl}benzene-1,3-diol",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
43,clofarabine,3,0,"[3, 4, 5]",[],0.0,0.0,-1.0,0.25,0.0526315789473684,0,0,-1.0,0.7071067811865476,0.2294157338705617
44,4-(2-methoxyethoxy)-6-methylpyrimidin-2-amine,3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
45,(3e)-3-[(phenylamino)methylidene]dihydrofuran-2(3h)-one,3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
46,"9-butyl-8-(3,4,5-trimethoxybenzyl)-9h-purin-6-amine",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
47,"(5e,7s)-2-amino-7-(4-fluoro-2-pyridin-3-ylphenyl)-4-methyl-7,8-dihydroquinazolin-5(6h)-one oxime",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
48,ceralasertib,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
49,"n-[4-(aminosulfonyl)benzyl]-5-(5-chloro-2,4-dihydroxyphenyl)-1h-pyrazole-4-carboxamide",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
50,9-butyl-8-(4-methoxybenzyl)-9h-purin-6-amine,3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
51,"4-(2,4-dichlorophenyl)-5-phenyldiazenyl-pyrimidin-2-amine",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
52,9-butyl-8-(3-methoxybenzyl)-9h-purin-6-amine,3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
53,(s)-alpha-methyl-4-carboxyphenylglycine,3,1,"[1, 2, 3]",[4],,,,,,0,0,0.0,0.0,0.0
54,"n-(4-acetylphenyl)-5-(5-chloro-2,4-dihydroxyphenyl)-1h-pyrazole-4-carboxamide",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
55,plx-4720,3,0,"[1, 2, 3]",[],0.0,0.0,1.0,0.0,0.3684210526315789,0,0,1.0,0.0,1.6059101370939324
56,"5-(5-chloro-2,4-dihydroxyphenyl)-n-ethyl-4-(4-methoxyphenyl)-1h-pyrazole-3-carboxamide",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
57,raf-265,3,1,"[1, 2, 3]",[4],0.0,0.0,-1.0,-0.25,-0.0526315789473684,0,0,-1.0,-0.7071067811865476,-0.2294157338705617
58,dinor-n(omega)-hydroxy-l-arginine,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
59,ribociclib,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
60,6-{[(cyclohexylamino)carbonyl]amino}hexanoic acid,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
61,"4-[3-(1,4-diazepan-1-ylcarbonyl)-4-fluorobenzyl]phthalazin-1(2h)-one",2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
62,(3r)-1-acetyl-3-methylpiperidine,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
63,s-propylamine-l-cysteine,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
64,palbociclib,2,0,"[1, 2]",[],0.0,0.0,1.0,0.0,-0.2105263157894736,0,0,1.0,0.0,-0.9176629354822472
65,"1-beta-ribofuranosyl-1,3-diazepinone",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
66,fisetin,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
67,"7,8-dichloro-1,2,3,4-tetrahydroisoquinoline",2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
68,"5-[3-(2-methoxyphenyl)-1h-pyrrolo[2,3-b]pyridin-5-yl]-n,n-dimethylpyridine-3-carboxamide",2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
69,s-{2-[amino(dihydroxy)-lambda~4~-sulfanyl]ethyl}-d-cysteine,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
70,elacytarabine,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
71,mk-0354,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
72,(1h-indol-3-yl)-(2-mercapto-ethoxyimino)-acetic acid,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
73,"1-(4-fluorophenyl)-n-[3-fluoro-4-(1h-pyrrolo[2,3-b]pyridin-4-yloxy)phenyl]-2-oxo-1,2-dihydropyridine-3-carboxamide",2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
74,keyhole limpet hemocyanin,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
75,becaplermin,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
76,metoprine,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
77,malonic acid,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
78,pimasertib,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
79,troxacitabine,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
80,"1-(1-methylethyl)-3-quinolin-6-yl-1h-pyrazolo[3,4-d]pyrimidin-4-amine",2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
81,carba-nicotinamide-adenine-dinucleotide,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
82,nu1025,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
83,trimetazidine,2,0,"[1, 2]",[],0.0,0.0,-1.0,0.25,0.4736842105263157,0,0,-1.0,0.7071067811865476,2.064741604835056
84,1-[1-(3-aminophenyl)-3-tert-butyl-1h-pyrazol-5-yl]-3-naphthalen-1-ylurea,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
85,n-({4-[(2-aminopyridin-4-yl)oxy]-3-fluorophenyl}carbamoyl)-2-(4-fluorophenyl)acetamide,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
86,2-(3'-methoxyphenyl) benzimidazole-4-carboxamide,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
87,2-(4-chlorophenyl)-5-quinoxalinecarboxamide,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
88,"n-(3-chlorophenyl)-n-methyl-2-oxo-3-[(3,4,5-trimethyl-1h-pyrrol-2-yl)methyl]-2h-indole-5-sulfonamide",2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
89,s-adenosyl-l-homocysteine,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
90,nelarabine,2,0,"[3, 4]",[],0.0,0.0,-1.0,0.0,0.0526315789473684,0,0,-1.0,0.0,0.2294157338705617
91,n6-benzyl adenosine-5'-diphosphate,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
92,dpi59,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
93,"2-methyl-3,5,7,8-tetrahydro-4h-thiopyrano[4,3-d]pyrimidin-4-one",2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
94,3'-fluoro-3'-deoxythymidine 5'-monophosphate,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
95,pd-168393,2,0,"[1, 2]",[],0.0,0.0,-1.0,-0.25,-0.1578947368421052,0,0,-1.0,-0.7071067811865476,-0.6882472016116853
96,"2',3'-dideoxythymidine-5'-monophosphate",2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
97,olaratumab,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
98,tyramine,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
99,zidovudine monophosphate,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
100,olodanrigan,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
101,a-620223,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
102,molsidomine,2,0,"[4, 5]",[],0.0,0.0,-1.0,0.25,-0.0526315789473684,0,0,-1.0,0.7071067811865476,-0.2294157338705617
103,"6-amino-benzo[de]isoquinoline-1,3-dione",2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
104,"5-fluoro-1-[4-(4-phenyl-3,6-dihydropyridin-1(2h)-yl)butyl]quinazoline-2,4(1h,3h)-dione",2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
105,apd668,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
106,vatalanib,2,1,"[3, 5]",[4],0.0,0.0,-1.0,-0.25,0.1578947368421052,0,0,-1.0,-0.7071067811865476,0.6882472016116853
107,"4-[(1e,7e)-8-(2,6-dioxo-1,2,3,6-tetrahydropyrimidin-4-yl)-3,6-dioxa-2,7-diazaocta-1,7-dien-1-yl]benzoic acid",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
108,urea,2,0,"[1, 2]",[],0.0,0.0,1.0,-0.75,-0.5789473684210527,0,0,1.0,-2.121320343559643,-2.5235730725761796
109,k-252a,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
110,ico-007,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
111,"(1s,4r,9s)-5-(trifluoromethyl)-1,2,3,4-tetrahydro-1,4-methanonaphthalen-9-amine",2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
112,skf-91488,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
113,sgx-523,2,0,"[1, 2]",[],0.0,0.0,-1.0,-0.25,-0.0526315789473684,0,0,-1.0,-0.7071067811865476,-0.2294157338705617
114,n-[4-methyl-3-[[4-(3-pyridinyl)-2-pyrimidinyl]amino]phenyl]-3-pyridinecarboxamide,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
115,1-(2-deoxy-5-o-phosphono-beta-d-erythro-pentofuranosyl)-4-methyl-1h-indole,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
116,"2-{3-[4-(4-fluorophenyl)-3,6-dihydro-1(2h)-pyridinyl]propyl}-8-methyl-4(3h)-quinazolinone",2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
117,iniparib,2,0,"[4, 5]",[],0.0,0.0,1.0,0.25,-0.1578947368421052,0,0,1.0,0.7071067811865476,-0.6882472016116853
118,"3,4-dihydro-5-methyl-isoquinolinone",2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
119,"1,2,3-trihydroxy-1,2,3,4-tetrahydrobenzo[a]pyrene",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
120,3-methoxybenzamide,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
121,ethyl oxo(piperidin-1-yl)acetate,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
122,lucanthone,2,0,"[3, 5]",[],,,,,,0,0,0.0,0.0,0.0
123,s-2-(boronoethyl)-l-cysteine,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
124,suvn-502,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
125,n-cyclohexyl-n'-decylurea,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
126,sp4160,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
127,ebselen,2,0,"[4, 5]",[],0.0,0.0,-1.0,-0.75,-0.4736842105263157,0,0,-1.0,-2.121320343559643,-2.064741604835056
128,pasbn,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
129,ru78262,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
130,pas219,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
131,"trans-(1s,2s)-2-amino-1,2,3,4-tetrahydronaphthalen-1-ol",2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
132,ru78300,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
133,sanglifehrin a,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
134,ru78299,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
135,phenylphosphate,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
136,ru82197,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
137,7-{[(cyclohexylamino)carbonyl]amino}heptanoic acid,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
138,n-(4-chlorophenyl)-2-[(pyridin-4-ylmethyl)amino]benzamide,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
139,aprinocarsen,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
140,dimethyl fumarate,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
141,"1-[(2-nitrophenyl)sulfonyl]-1h-pyrrolo[3,2-b]pyridine-6-carboxamide",2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
142,"n-(4-chlorophenyl)-1,2,3,4-tetrahydroisoquinoline-7-sulfonamide",2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
143,"8,9-dichloro-2,3,4,5-tetrahydro-1h-benzo[c]azepine",2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
144,suvorexant,2,0,"[1, 2]",[],0.0,0.0,-1.0,-1.0,-0.3684210526315789,0,0,-1.0,-2.8284271247461903,-1.6059101370939324
145,osi-461,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
146,sp2456,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
147,methyl (2s)-2-[[2-[(3r)-1-carbamimidoylpiperidin-3-yl]acetyl]amino]-3-[4-(2-phenylethynyl)phenyl]propanoate,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
148,ru85053,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
149,ru82209,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
150,ru78191,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
151,ru83876,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
152,ru84687,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
153,"2-{[(6-oxo-1,6-dihydropyridin-3-yl)methyl]amino}-n-[4-propyl-3-(trifluoromethyl)phenyl]benzamide",2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
154,radotinib,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
155,ru85493,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
156,ru79256,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
157,ru78783,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
158,ru90395,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
159,harmaline,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
160,ru79072,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
161,pp-121,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
162,glycocyamine,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
163,ru79073,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
164,(1r)-2-amino-1-[3-(trifluoromethyl)phenyl]ethanol,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
165,"cis-(1r,2s)-2-amino-1,2,3,4-tetrahydronaphthalen-1-ol",2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
166,"n(2)-carbamimidoyl-n-{2-[4-(3-{4-[(5-carboxyfuran-2-yl)methoxy]-2,3-dichlorophenyl}-1-methyl-1h-pyrazol-5-yl)piperidin-1-yl]-2-oxoethyl}-d-leucinamide",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
167,amg-208,2,0,"[1, 2]",[],0.0,0.0,-1.0,-0.25,-0.0526315789473684,0,0,-1.0,-0.7071067811865476,-0.2294157338705617
168,n-cyclohexyl-n'-(propyl)phenyl urea,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
169,"3-mercapto-1-(1,3,4,9-tetrahydro-b-carbolin-2-yl)-propan-1-one",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
170,"(3r)-3-(fluoromethyl)-n-(3,3,3-trifluoropropyl)-1,2,3,4-tetrahydroisoquinoline-7-sulfonamide",2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
171,"(3r)-3-(fluoromethyl)-7-(thiomorpholin-4-ylsulfonyl)-1,2,3,4-tetrahydroisoquinoline",2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
172,levmetamfetamine,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
173,dehydro-2(s)-amino-6-boronohexanoic acid,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
174,3-indolebutyric acid,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
175,"5-ethoxy-4-(1-methyl-7-oxo-3-propyl-6,7-dihydro-1h-pyrazolo[4,3-d]pyrimidin-5-yl)thiophene-2-sulfonamide",2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
176,2-[4-[(z)-2-acetamido-3-oxo-3-[[(3s)-2-oxo-1-[(4-phenylphenyl)methyl]azepan-3-yl]amino]prop-1-enyl]-2-formylphenyl]acetic acid,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
177,4-[(4-methyl-1-piperazinyl)methyl]-n-[3-[[4-(3-pyridinyl)-2-pyrimidinyl]amino]phenyl]-benzamide,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
178,at-7519,2,0,"[1, 2]",[],0.0,0.0,1.0,0.5,0.1578947368421052,0,0,1.0,1.4142135623730951,0.6882472016116853
179,sgs518,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
180,"5alpha-androstane-3alpha,17beta-diol",2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
181,n-(4-phenylamino-quinazolin-6-yl)-acrylamide,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
182,"3-[4-amino-1-(1-methylethyl)-1h-pyrazolo[3,4-d]pyrimidin-3-yl]phenol",2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
183,"7-iodo-1,2,3,4-tetrahydro-isoquinoline",2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
184,n-[(cyclohexylamino)carbonyl]glycine,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
185,2(s)-amino-6-boronohexanoic acid,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
186,4-{[(cyclohexylamino)carbonyl]amino}butanoic acid,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
187,iso24,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
188,paratoulene phosphate,2,0,"[1, 2]",[],,,,,,0,0,0.0,0.0,0.0
189,imc-1c11,2,1,"[3, 5]",[4],,,,,,0,0,0.0,0.0,0.0
190,ar-9281,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
191,"1,2,3,4-tetrahydro-isoquinoline-7-sulfonic acid amide",2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
