,drug_name,Altered intercellular communication count,Altered intercellular communication count marg,Altered intercellular communication,Altered intercellular communication marg,Cmap pAGE Altered intercellular communication level1,Cmap pAGE Altered intercellular communication level2,Cmap pAGE Altered intercellular communication level3,Cmap pAGE Altered intercellular communication level4,Cmap pAGE Altered intercellular communication level5,Cmap pAGE Altered intercellular communication level1 z_score,Cmap pAGE Altered intercellular communication level2 z_score,Cmap pAGE Altered intercellular communication level3 z_score,Cmap pAGE Altered intercellular communication level4 z_score,Cmap pAGE Altered intercellular communication level5 z_score
21,insulin degludec,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
22,somatrem,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
23,doxazosin,5,0,"[1, 2, 3, 4, 5]",[],-0.3333333333333333,-0.1428571428571428,-0.1111111111111111,-0.3846153846153846,-0.0729166666666666,-0.5773502691896256,-0.3779644730092272,-0.3333333333333333,-1.96116135138184,-1.010362971081845
24,naphazoline,5,0,"[1, 2, 3, 4, 5]",[],-0.3333333333333333,-0.5714285714285714,-0.2222222222222222,-0.3461538461538461,-0.1614583333333333,-0.5773502691896256,-1.511857892036909,-0.6666666666666666,-1.765045216243656,-2.2372322931097997
25,methoxamine,5,0,"[1, 2, 3, 4, 5]",[],-0.3333333333333333,-0.4285714285714285,-0.1111111111111111,0.0769230769230769,-0.0520833333333333,-0.5773502691896256,-1.1338934190276817,-0.3333333333333333,0.392232270276368,-0.7216878364870322
26,5'-guanylylmethylenebisphosphonate,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
27,candesartan cilexetil,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
28,linsitinib,5,0,"[1, 2, 3, 4, 5]",[],-0.3333333333333333,0.0,0.0,-0.1923076923076923,-0.0364583333333333,-0.5773502691896256,0.0,0.0,-0.98058067569092,-0.5051814855409225
29,insulin detemir,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
30,tamsulosin,5,0,"[1, 2, 3, 4, 5]",[],0.3333333333333333,0.0,0.0,0.0384615384615384,0.0260416666666666,0.5773502691896256,0.0,0.0,0.196116135138184,0.3608439182435161
31,tetryzoline,5,0,"[1, 2, 3, 4, 5]",[],0.3333333333333333,0.4285714285714285,0.3333333333333333,0.0769230769230769,0.0104166666666666,0.5773502691896256,1.1338934190276817,1.0,0.392232270276368,0.1443375672974064
32,alfuzosin,5,0,"[1, 2, 3, 4, 5]",[],-0.3333333333333333,-0.1428571428571428,0.1111111111111111,-0.2307692307692307,-0.0208333333333333,-0.5773502691896256,-0.3779644730092272,0.3333333333333333,-1.1766968108291045,-0.2886751345948128
33,cirazoline,5,0,"[1, 2, 3, 4, 5]",[],0.3333333333333333,0.1428571428571428,0.1111111111111111,0.0,0.03125,0.5773502691896256,0.3779644730092272,0.3333333333333333,0.0,0.4330127018922192
34,synephrine,5,0,"[1, 2, 3, 4, 5]",[],0.3333333333333333,0.4285714285714285,0.5555555555555556,0.4615384615384615,0.1145833333333333,0.5773502691896256,1.1338934190276817,1.6666666666666667,2.3533936216582085,1.5877132402714706
35,bms-754807,5,0,"[1, 2, 3, 4, 5]",[],-0.3333333333333333,-0.4285714285714285,-0.3333333333333333,-0.3846153846153846,-0.0520833333333333,-0.5773502691896256,-1.1338934190276817,-1.0,-1.96116135138184,-0.7216878364870322
36,bardoxolone methyl,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
37,atl1101,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
38,r450,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
39,"n,n-bis(3-(d-gluconamido)propyl)deoxycholamide",5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
40,ergometrine,5,0,"[1, 2, 3, 4, 5]",[],-0.3333333333333333,0.1428571428571428,0.3333333333333333,0.3846153846153846,-0.1979166666666666,-0.5773502691896256,0.3779644730092272,1.0,1.96116135138184,-2.7424137786507217
41,moxisylyte,5,0,"[1, 2, 3, 4, 5]",[],-0.3333333333333333,0.0,-0.2222222222222222,-0.0384615384615384,0.109375,-0.5773502691896256,0.0,-0.6666666666666666,-0.196116135138184,1.5155444566227674
42,ergotamine,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
43,midodrine,5,0,"[1, 2, 3, 4, 5]",[],-0.3333333333333333,0.1428571428571428,-0.1111111111111111,-0.2307692307692307,0.0208333333333333,-0.5773502691896256,0.3779644730092272,-0.3333333333333333,-1.1766968108291045,0.2886751345948128
44,thioproperazine,5,0,"[1, 2, 3, 4, 5]",[],-0.3333333333333333,-0.5714285714285714,-0.6666666666666666,-0.1923076923076923,0.015625,-0.5773502691896256,-1.511857892036909,-2.0,-0.98058067569092,0.2165063509461096
45,dapiprazole,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
46,astaxanthin,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
47,xylometazoline,5,0,"[1, 2, 3, 4, 5]",[],-0.3333333333333333,0.4285714285714285,0.3333333333333333,0.0769230769230769,0.0104166666666666,-0.5773502691896256,1.1338934190276817,1.0,0.392232270276368,0.1443375672974064
48,ertiprotafib,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
49,archexin,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
50,aranidipine,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
51,teprotumumab,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
52,perifosine,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
53,phendimetrazine,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
54,selisistat,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
55,3-[5-(1h-imidazol-1-yl)-7-methyl-1h-benzimidazol-2-yl]-4-[(pyridin-2-ylmethyl)amino]pyridin-2(1h)-one,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
56,xl765,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
57,dalotuzumab,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
58,dequalinium,5,0,"[1, 2, 3, 4, 5]",[],-1.0,-0.2857142857142857,-0.2222222222222222,-0.2692307692307692,-0.0052083333333333,-1.732050807568877,-0.7559289460184545,-0.6666666666666666,-1.372812945967288,-0.0721687836487032
59,tasosartan,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
60,1-(2-fluorobenzyl)-3-butyl-8-(n-acetyl-4-aminobenzyl)-xanthine,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
61,travoprost,4,0,"[1, 2, 3, 4]",[],-1.0,0.1428571428571428,0.3333333333333333,-0.0769230769230769,0.0104166666666666,-1.732050807568877,0.3779644730092272,1.0,-0.392232270276368,0.1443375672974064
62,ruxolitinib,4,0,"[2, 3, 4, 5]",[],0.3333333333333333,-0.2857142857142857,-0.4444444444444444,-0.1153846153846153,-0.0885416666666666,0.5773502691896256,-0.7559289460184545,-1.3333333333333333,-0.5883484054145521,-1.2268693220279547
63,triheptanoin,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
64,"s,r-warfarin alcohol",4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
65,ocaperidone,4,1,"[1, 2, 4, 5]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
66,metacycline,4,0,"[2, 3, 4, 5]",[],0.3333333333333333,0.0,0.0,-0.0384615384615384,-0.015625,0.5773502691896256,0.0,0.0,-0.196116135138184,-0.2165063509461096
67,bromocriptine,4,0,"[1, 2, 3, 5]",[],1.0,0.1428571428571428,0.1111111111111111,0.1538461538461538,0.0833333333333333,1.732050807568877,0.3779644730092272,0.3333333333333333,0.7844645405527361,1.1547005383792512
68,nonivamide,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
69,acetrizoic acid,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
70,guaiacol,4,0,"[2, 3, 4, 5]",[],-0.3333333333333333,0.0,-0.2222222222222222,0.0384615384615384,-0.0572916666666666,-0.5773502691896256,0.0,-0.6666666666666666,0.196116135138184,-0.7938566201357353
71,bismuth subgallate,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
72,andrographolide,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
73,racepinephrine,4,1,"[1, 2, 3, 5]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
74,iodipamide,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
75,lutein,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
76,mecasermin rinfabate,4,1,"[1, 3, 4, 5]",[2],,,,,,0.0,0.0,0.0,0.0,0.0
77,foreskin keratinocyte (neonatal),4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
78,drospirenone,4,0,"[2, 3, 4, 5]",[],-0.3333333333333333,0.1428571428571428,0.1111111111111111,0.0769230769230769,-0.0208333333333333,-0.5773502691896256,0.3779644730092272,0.3333333333333333,0.392232270276368,-0.2886751345948128
79,dl-methylephedrine,4,1,"[1, 2, 3, 5]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
80,octreotide,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
81,labetalol,4,0,"[2, 3, 4, 5]",[],0.3333333333333333,-0.4285714285714285,-0.3333333333333333,-0.2307692307692307,0.0625,0.5773502691896256,-1.1338934190276817,-1.0,-1.1766968108291045,0.8660254037844385
82,mephentermine,4,0,"[1, 2, 3, 5]",[],-0.3333333333333333,0.0,0.0,0.2692307692307692,0.234375,-0.5773502691896256,0.0,0.0,1.372812945967288,3.247595264191645
83,chlorhexidine,4,0,"[2, 3, 4, 5]",[],-1.0,-0.5714285714285714,-0.4444444444444444,-0.1923076923076923,-0.0572916666666666,-1.732050807568877,-1.511857892036909,-1.3333333333333333,-0.98058067569092,-0.7938566201357353
84,sulfamethazine,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
85,dantron,4,0,"[2, 3, 4, 5]",[],-1.0,0.1428571428571428,0.1111111111111111,0.0769230769230769,0.0104166666666666,-1.732050807568877,0.3779644730092272,0.3333333333333333,0.392232270276368,0.1443375672974064
86,tolmetin,4,0,"[2, 3, 4, 5]",[],-0.3333333333333333,-0.1428571428571428,-0.1111111111111111,0.0,0.03125,-0.5773502691896256,-0.3779644730092272,-0.3333333333333333,0.0,0.4330127018922192
87,isotretinoin,4,0,"[2, 3, 4, 5]",[],-0.3333333333333333,0.4285714285714285,0.3333333333333333,0.0,-0.0208333333333333,-0.5773502691896256,1.1338934190276817,1.0,0.0,-0.2886751345948128
88,4-hydroxybenzaldehyde o-(cyclohexylcarbonyl)oxime,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
89,azapropazone,4,0,"[2, 3, 4, 5]",[],-0.3333333333333333,-0.2857142857142857,0.0,-0.0384615384615384,-0.1197916666666666,-0.5773502691896256,-0.7559289460184545,0.0,-0.196116135138184,-1.659882023920174
90,medium-chain triglycerides,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
91,azilsartan medoxomil,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
92,irbesartan,4,0,"[2, 3, 4, 5]",[],-0.3333333333333333,-0.1428571428571428,-0.1111111111111111,0.3076923076923077,0.0208333333333333,-0.5773502691896256,-0.3779644730092272,-0.3333333333333333,1.568929081105472,0.2886751345948128
93,mln0415,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
94,diflunisal,4,0,"[2, 3, 4, 5]",[],-0.3333333333333333,0.1428571428571428,0.1111111111111111,0.0769230769230769,0.0416666666666666,-0.5773502691896256,0.3779644730092272,0.3333333333333333,0.392232270276368,0.5773502691896256
95,propiolactone,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
96,mefenamic acid,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
97,bismuth subsalicylate,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
98,sapropterin,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
99,tafluprost,4,1,"[2, 3, 4, 5]",[1],,,,,,0.0,0.0,0.0,0.0,0.0
100,fenoldopam,4,1,"[1, 2, 3, 5]",[4],-0.3333333333333333,-0.4285714285714285,-0.5555555555555556,-0.5384615384615384,-0.1145833333333333,-0.5773502691896256,-1.1338934190276817,-1.6666666666666667,-2.745625891934576,-1.5877132402714706
101,futibatinib,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
102,zinc,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
103,pranoprofen,4,0,"[2, 3, 4, 5]",[],0.3333333333333333,0.1428571428571428,0.3333333333333333,0.3076923076923077,0.0416666666666666,0.5773502691896256,0.3779644730092272,1.0,1.568929081105472,0.5773502691896256
104,cefonicid,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
105,buspirone,4,0,"[2, 3, 4, 5]",[],0.3333333333333333,0.1428571428571428,0.3333333333333333,0.0769230769230769,-0.09375,0.5773502691896256,0.3779644730092272,1.0,0.392232270276368,-1.2990381056766578
106,cefiderocol,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
107,epicept np-1,4,0,"[1, 2, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
108,phenol,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
109,ertapenem,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
110,imiquimod,4,0,"[2, 3, 4, 5]",[],-1.0,-1.0,-1.0,-0.1538461538461538,0.0625,-1.732050807568877,-2.6457513110645907,-3.0,-0.7844645405527361,0.8660254037844385
111,acepromazine,4,0,"[1, 2, 3, 5]",[],-0.3333333333333333,-0.4285714285714285,-0.1111111111111111,-0.2307692307692307,-0.0104166666666666,-0.5773502691896256,-1.1338934190276817,-0.3333333333333333,-1.1766968108291045,-0.1443375672974064
112,s-methyl glutathione,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
113,delamanid,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
114,clonidine,4,1,"[2, 3, 4, 5]",[1],0.3333333333333333,0.2857142857142857,0.4444444444444444,0.6153846153846154,0.1770833333333333,0.5773502691896256,0.7559289460184545,1.3333333333333333,3.1378581622109443,2.4537386440559095
115,tolfenamic acid,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
116,phenprocoumon,4,0,"[2, 3, 4, 5]",[],0.3333333333333333,0.1428571428571428,0.1111111111111111,-0.1538461538461538,0.0625,0.5773502691896256,0.3779644730092272,0.3333333333333333,-0.7844645405527361,0.8660254037844385
117,7-hydroxy-2-oxo-chromene-3-carboxylic acid ethyl ester,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
118,phenoxybenzamine,4,0,"[1, 2, 3, 5]",[],-0.3333333333333333,-0.1428571428571428,-0.1111111111111111,-0.1538461538461538,-0.0208333333333333,-0.5773502691896256,-0.3779644730092272,-0.3333333333333333,-0.7844645405527361,-0.2886751345948128
119,levamlodipine,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
120,etodolac,4,0,"[2, 3, 4, 5]",[],-1.0,-0.2857142857142857,-0.4444444444444444,-0.5,0.0052083333333333,-1.732050807568877,-0.7559289460184545,-1.3333333333333333,-2.549509756796392,0.0721687836487032
121,stearic acid,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
122,3-fluoro-4-hydroxybenzaldehyde o-(cyclohexylcarbonyl)oxime,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
123,potassium alum,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
124,arbutin,4,0,"[2, 3, 4, 5]",[],0.3333333333333333,-0.1428571428571428,0.1111111111111111,0.2307692307692307,0.09375,0.5773502691896256,-0.3779644730092272,0.3333333333333333,1.1766968108291045,1.2990381056766578
125,prednicarbate,4,0,"[2, 3, 4, 5]",[],0.3333333333333333,0.4285714285714285,0.3333333333333333,0.0769230769230769,-0.1145833333333333,0.5773502691896256,1.1338934190276817,1.0,0.392232270276368,-1.5877132402714706
126,apraclonidine,4,1,"[1, 2, 3, 5]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
127,prednisolone,4,0,"[2, 3, 4, 5]",[],0.3333333333333333,0.4285714285714285,0.5555555555555556,0.0769230769230769,-0.0208333333333333,0.5773502691896256,1.1338934190276817,1.6666666666666667,0.392232270276368,-0.2886751345948128
128,eprosartan,4,0,"[1, 2, 4, 5]",[],0.3333333333333333,0.1428571428571428,0.3333333333333333,0.3846153846153846,0.0416666666666666,0.5773502691896256,0.3779644730092272,1.0,1.96116135138184,0.5773502691896256
129,betamethasone phosphate,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
130,dihydroergotamine,4,0,"[1, 2, 3, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
131,sodium lauryl sulfate,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
132,prednisolone acetate,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
133,droxidopa,4,1,"[1, 2, 3, 5]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
134,duvelisib,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
135,em-1745,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
136,pergolide,4,0,"[1, 2, 3, 5]",[],-1.0,-0.2857142857142857,0.0,0.1923076923076923,0.0364583333333333,-1.732050807568877,-0.7559289460184545,0.0,0.98058067569092,0.5051814855409225
137,"3-(4-hydroxyphenyl)-4,5-dihydro-5-isoxazole-acetic acid methyl ester",4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
138,vutrisiran,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
139,ormeloxifene,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
140,vx-702,4,0,"[2, 3, 4, 5]",[],0.3333333333333333,0.2857142857142857,0.2222222222222222,0.1153846153846153,-0.0364583333333333,0.5773502691896256,0.7559289460184545,0.6666666666666666,0.5883484054145521,-0.5051814855409225
141,"r,s-warfarin alcohol",4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
142,cefpiramide,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
143,icosapent,4,0,"[2, 3, 4, 5]",[],-0.3333333333333333,-0.4285714285714285,-0.3333333333333333,-0.0769230769230769,-0.0520833333333333,-0.5773502691896256,-1.1338934190276817,-1.0,-0.392232270276368,-0.7216878364870322
144,capsicum oleoresin,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
145,gadobenic acid,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
146,edoxudine,4,0,"[2, 3, 4, 5]",[],-0.3333333333333333,-0.7142857142857143,-0.5555555555555556,-0.1538461538461538,-0.09375,-0.5773502691896256,-1.8898223650461363,-1.6666666666666667,-0.7844645405527361,-1.2990381056766578
147,mirtazapine,4,0,"[1, 2, 4, 5]",[],0.3333333333333333,0.4285714285714285,0.1111111111111111,-0.1538461538461538,-0.1145833333333333,0.5773502691896256,1.1338934190276817,0.3333333333333333,-0.7844645405527361,-1.5877132402714706
148,cefotetan,4,0,"[2, 3, 4, 5]",[],1.0,0.7142857142857143,0.3333333333333333,0.3846153846153846,0.0,1.732050807568877,1.8898223650461363,1.0,1.96116135138184,0.0
149,gadofosveset trisodium,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
150,magnesium salicylate,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
151,"4-hydroxybenzaldehyde o-(3,3-dimethylbutanoyl)oxime",4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
152,dobutamine,4,1,"[1, 2, 3, 5]",[4],-0.3333333333333333,0.0,0.2222222222222222,0.1923076923076923,0.0260416666666666,-0.5773502691896256,0.0,0.6666666666666666,0.98058067569092,0.3608439182435161
153,"3,4-dihydroxycinnamic acid",4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
154,patent blue,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
155,4-hydroxyphenylpyruvic acid,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
156,indoxyl sulfate,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
157,sulfamerazine,4,0,"[2, 3, 4, 5]",[],1.0,0.7142857142857143,0.5555555555555556,0.3846153846153846,0.1354166666666666,1.732050807568877,1.8898223650461363,1.6666666666666667,1.96116135138184,1.8763883748662833
158,carvedilol,4,1,"[2, 3, 4, 5]",[1],-1.0,-1.0,-1.0,-0.6923076923076923,-0.0833333333333333,-1.732050807568877,-2.6457513110645907,-3.0,-3.530090432487312,-1.1547005383792512
159,burosumab,4,1,"[1, 2, 3, 5]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
160,cysteamine,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
161,arsenic trioxide,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
162,icodextrin,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
163,hydrocortamate,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
164,(3-carboxy-2-(r)-hydroxy-propyl)-trimethyl-ammonium,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
