,drug_name,Disabled macroautophagy count,Disabled macroautophagy count marg,Disabled macroautophagy,Disabled macroautophagy marg,Cmap pAGE Disabled macroautophagy level1,Cmap pAGE Disabled macroautophagy level2,Cmap pAGE Disabled macroautophagy level3,Cmap pAGE Disabled macroautophagy level4,Cmap pAGE Disabled macroautophagy level5,Cmap pAGE Disabled macroautophagy level1 z_score,Cmap pAGE Disabled macroautophagy level2 z_score,Cmap pAGE Disabled macroautophagy level3 z_score,Cmap pAGE Disabled macroautophagy level4 z_score,Cmap pAGE Disabled macroautophagy level5 z_score
15,ic261,3,0,"[2, 3, 4]",[],,,,,,0,0,0.0,0.0,0.0
16,atrasentan,3,0,"[3, 4, 5]",[],,0.0,1.0,1.0,-0.2,0,0,1.4142135623730951,1.4142135623730951,-0.894427190999916
17,n-[(1s)-1-(aminocarbonyl)-4-(ethanimidoylamino)butyl]benzamide,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
18,atosiban,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
19,calcium,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
20,spp 301,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
21,"5-quinoxalin-6-ylmethylene-thiazolidine-2,4-dione",3,1,"[2, 3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
22,ambrisentan,3,0,"[3, 4, 5]",[],,0.0,1.0,1.0,0.2,0,0,1.4142135623730951,1.4142135623730951,0.894427190999916
23,b-2-octylglucoside,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
24,alpha-aminobutyric acid,3,0,"[2, 3, 4]",[],,,,,,0,0,0.0,0.0,0.0
25,"4-(6-{[(1r)-1-(hydroxymethyl)propyl]amino}imidazo[1,2-b]pyridazin-3-yl)benzoic acid",3,0,"[2, 3, 4]",[],,,,,,0,0,0.0,0.0,0.0
26,"1,2-dihexadecanoyl-sn-glycero-3-phosphoethanolamine",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
27,fostamatinib,3,0,"[2, 3, 4]",[],,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
28,sparsentan,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
29,s-octylglutathione,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
30,1-hydroxy-2-s-glutathionyl-3-para-nitrophenoxy-propane,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
31,3'-phospho-5'-adenylyl sulfate,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
32,"3h-pyrazolo[4,3-d]pyrimidin-7-ol",3,0,"[2, 3, 4]",[],,,,,,0,0,0.0,0.0,0.0
33,chlorambucil,3,0,"[3, 4, 5]",[],,0.0,-1.0,-1.0,0.0,0,0,-1.4142135623730951,-1.4142135623730951,0.0
34,enrasentan,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
35,gsk-1059615,3,0,"[2, 3, 4]",[],,0.0,-1.0,-1.0,-0.2,0,0,-1.4142135623730951,-1.4142135623730951,-0.894427190999916
36,navitoclax,3,1,"[2, 3, 4]",[5],,0.0,-1.0,-1.0,0.2,0,0,-1.4142135623730951,-1.4142135623730951,0.894427190999916
37,nps-2143,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
38,afimetoran,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
39,irosustat,3,0,"[2, 3, 4]",[],,,,,,0,0,0.0,0.0,0.0
40,"5-[(3r)-3-(5-methoxy-2',6'-dimethylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
41,vadimezan,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
42,gallium maltolate,3,1,"[2, 3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
43,12-hydroxydodecanoic acid,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
44,streptomycin,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
45,progabide,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
46,olodanrigan,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
47,hexylresorcinol,3,1,"[3, 4, 5]",[2],,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
48,quinidine barbiturate,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
49,kc706,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
50,etoposide,3,0,"[3, 4, 5]",[],,0.0,1.0,1.0,0.1,0,0,1.4142135623730951,1.4142135623730951,0.447213595499958
51,"2-[2-(2-fluorophenyl)pyridin-4-yl]-1,5,6,7-tetrahydro-4h-pyrrolo[3,2-c]pyridin-4-one",3,1,"[2, 3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
52,ruplizumab,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
53,vasopressin,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
54,ponatinib,3,0,"[2, 3, 4]",[],,0.0,0.0,0.0,-0.2,0,0,0.0,0.0,-0.894427190999916
55,fluocinolone acetonide,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
56,clazosentan,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
57,4'-deoxy-4'-acetylyamino-pyridoxal-5'-phosphate,3,1,"[2, 3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
58,phenethyl isothiocyanate,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
59,n-acetylmethionine,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
60,2-amino-3-oxo-4-sulfo-butyric acid,3,0,"[2, 3, 4]",[],,,,,,0,0,0.0,0.0,0.0
61,s-hydroxymethyl glutathione,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
62,l-saccharopine,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
63,heptyl 1-thiohexopyranoside,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
64,"heptane-1,2,3-triol",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
65,n-(2-aminoethyl)-5-chloroisoquinoline-8-sulfonamide,3,0,"[2, 3, 4]",[],,,,,,0,0,0.0,0.0,0.0
66,motexafin gadolinium,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
67,epirubicin,3,0,"[3, 4, 5]",[],,0.0,-1.0,-1.0,-0.6,0,0,-1.4142135623730951,-1.4142135623730951,-2.6832815729997477
68,clofarabine,3,0,"[2, 3, 4]",[],,0.0,0.0,0.0,-0.2,0,0,0.0,0.0,-0.894427190999916
69,ketorolac,3,0,"[3, 4, 5]",[],,0.0,0.0,0.0,0.3,0,0,0.0,0.0,1.3416407864998738
70,etelcalcetide,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
71,"2-(2-quinolin-3-ylpyridin-4-yl)-1,5,6,7-tetrahydro-4h-pyrrolo[3,2-c]pyridin-4-one",3,1,"[2, 3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
72,pimasertib,3,0,"[2, 3, 4]",[],,,,,,0,0,0.0,0.0,0.0
73,nadph,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
74,irl-1620,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
75,calcium chloride,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
76,"5,5-dimethyl-2-morpholin-4-yl-5,6-dihydro-1,3-benzothiazol-7(4h)-one",3,0,"[2, 3, 4]",[],,,,,,0,0,0.0,0.0,0.0
77,myricetin,3,0,"[2, 3, 4]",[],,0.0,-1.0,-1.0,-0.3,0,0,-1.4142135623730951,-1.4142135623730951,-1.3416407864998738
78,salmon calcitonin,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
79,triethyl phosphate,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
80,xl765,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
81,guanine,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
82,"(5e)-5-[(2,2-difluoro-1,3-benzodioxol-5-yl)methylene]-1,3-thiazolidine-2,4-dione",3,1,"[2, 3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
83,ronacaleret,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
84,"1-methyl-3-naphthalen-2-yl-1h-pyrazolo[3,4-d]pyrimidin-4-amine",3,1,"[2, 3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
85,pam2csk4,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
86,1-(9-ethyl-9h-carbazol-3-yl)-n-methylmethanamine,3,1,"[3, 4, 5]",[2],,,,,,0,0,0.0,0.0,0.0
87,stannsoporfin,3,0,"[2, 3, 4]",[],,,,,,0,0,0.0,0.0,0.0
88,azd 3355,3,1,"[3, 4, 5]",[2],,,,,,0,0,0.0,0.0,0.0
89,acemetacin,3,0,"[3, 4, 5]",[],,0.0,1.0,1.0,0.0,0,0,1.4142135623730951,1.4142135623730951,0.0
90,cx-717,3,1,"[2, 3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
91,tezosentan,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
92,"3-[4-amino-1-(1-methylethyl)-1h-pyrazolo[3,4-d]pyrimidin-3-yl]phenol",3,0,"[2, 3, 4]",[],,,,,,0,0,0.0,0.0,0.0
93,cx516,3,1,"[2, 3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
94,neomycin,3,0,"[3, 4, 5]",[],,0.0,-1.0,-1.0,-0.2,0,0,-1.4142135623730951,-1.4142135623730951,-0.894427190999916
95,amlexanox,3,0,"[3, 4, 5]",[],,0.0,1.0,1.0,0.5,0,0,1.4142135623730951,1.4142135623730951,2.23606797749979
96,pyrazolanthrone,3,0,"[3, 4, 5]",[],,0.0,1.0,1.0,0.3,0,0,1.4142135623730951,1.4142135623730951,1.3416407864998738
97,aniracetam,3,0,"[3, 4, 5]",[],,0.0,1.0,1.0,-0.2,0,0,1.4142135623730951,1.4142135623730951,-0.894427190999916
98,dihydroquinidine barbiturate,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
99,ethanolamine,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
100,selgantolimod,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
101,(s)-alpha-methyl-4-carboxyphenylglycine,3,1,"[2, 3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
102,diphemanil,2,0,"[3, 4]",[],,0.0,1.0,1.0,0.0,0,0,1.4142135623730951,1.4142135623730951,0.0
103,dexrazoxane,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
104,mitiglinide,2,1,"[3, 4]",[5],,0.0,0.0,0.0,-0.1,0,0,0.0,0.0,-0.447213595499958
105,dexketoprofen,2,0,"[3, 4]",[],,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
106,firocoxib,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
107,arbutin,2,0,"[2, 5]",[],,0.0,1.0,1.0,0.2,0,0,1.4142135623730951,1.4142135623730951,0.894427190999916
108,methylphenobarbital,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
109,tiaprofenic acid,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
110,papain,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
111,sr12813,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
112,glycol salicylate,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
113,immucillin-g,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
114,peldesine,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
115,2-((9h-purin-6-ylthio)methyl)-5-chloro-3-(2-methoxyphenyl)quinazolin-4(3h)-one,2,1,"[2, 4]",[3],,,,,,0,0,0.0,0.0,0.0
116,seliciclib,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
117,phosphonotyrosine,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
118,gamma-aminobutyric acid,2,0,"[2, 5]",[],,,,,,0,0,0.0,0.0,0.0
119,s-benzylcysteine,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
120,methylumbelliferyl chitotriose,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
121,salsalate,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
122,dactinomycin,2,0,"[3, 4]",[],,0.0,1.0,1.0,-0.1,0,0,1.4142135623730951,1.4142135623730951,-0.447213595499958
123,cladribine,2,0,"[3, 4]",[],,0.0,-1.0,-1.0,-0.2,0,0,-1.4142135623730951,-1.4142135623730951,-0.894427190999916
124,dodecyl sulfate,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
125,quisqualic acid,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
126,felbinac,2,0,"[3, 4]",[],,0.0,1.0,1.0,0.1,0,0,1.4142135623730951,1.4142135623730951,0.447213595499958
127,prostaglandin g2,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
128,alclofenac,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
129,"2-amino-7-[2-(2-hydroxy-1-hydroxymethyl-ethylamino)-ethyl]-1,7-dihydro-purin-6-one",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
130,"(2s,3r,4s,5s)-3,4-dihydroxy-2-[(methylsulfanyl)methyl]-5-(4-oxo-4,5-dihydro-1h-pyrrolo[3,2-d]pyrimidin-7-yl)pyrrolidinium",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
131,nepafenac,2,0,"[3, 4]",[],,0.0,0.0,0.0,0.4,0,0,0.0,0.0,1.788854381999832
132,desmopressin,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
133,blinatumomab,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
134,"9-deazainosine-2',3'-o-ethylidenephosphonate",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
135,"9-(5,5-difluoro-5-phosphonopentyl)guanine",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
136,9-deazainosine,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
137,px-12,2,0,"[3, 4]",[],,0.0,-1.0,-1.0,-0.1,0,0,-1.4142135623730951,-1.4142135623730951,-0.447213595499958
138,"4-hydroxybenzaldehyde o-(3,3-dimethylbutanoyl)oxime",2,1,"[2, 4]",[3],,,,,,0,0,0.0,0.0,0.0
139,3'-deoxyguanosine,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
140,cep-1347,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
141,ammonia,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
142,menthyl salicylate,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
143,"2,6-diamino-(s)-9-[2-(phosphonomethoxy)propyl]purine",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
144,pomalidomide,2,0,"[3, 4]",[],,0.0,-1.0,-1.0,-0.3,0,0,-1.4142135623730951,-1.4142135623730951,-1.3416407864998738
145,arsanilic acid,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
146,n-(tert-butyl)-4-[5-(pyridin-2-ylamino)quinolin-3-yl]benzenesulfonamide,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
147,fotemustine,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
148,imiquimod,2,0,"[3, 4]",[],,0.0,-1.0,-1.0,0.1,0,0,-1.4142135623730951,-1.4142135623730951,0.447213595499958
149,s-(2-oxo)pentadecylcoa,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
150,"guanosine-2',3'-o-methylidenephosphonate",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
151,sc-236,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
152,"guanosine-2',3'-o-ethylidenephosphonate",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
153,gti 2040,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
154,7-hydroxy-2-oxo-chromene-3-carboxylic acid ethyl ester,2,1,"[2, 4]",[3],,,,,,0,0,0.0,0.0,0.0
155,guanosine,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
156,lenalidomide,2,0,"[3, 4]",[],,0.0,1.0,1.0,0.1,0,0,1.4142135623730951,1.4142135623730951,0.447213595499958
157,bendazac,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
158,propentofylline,2,0,"[3, 4]",[],,0.0,1.0,1.0,0.0,0,0,1.4142135623730951,1.4142135623730951,0.0
159,entrectinib,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
160,ribose-1-phosphate,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
161,9-deazaguanine,2,1,"[2, 3]",[4],,,,,,0,0,0.0,0.0,0.0
162,forodesine,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
163,"(3r,4r)-3-hydroxy-4-(hydroxymethyl)-1-[(4-oxo-4,4a,5,7a-tetrahydro-3h-pyrrolo[3,2-d]pyrimidin-7-yl)methyl]pyrrolidinium",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
164,basiliximab,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
165,"2-{4-[(4-imidazo[1,2-a]pyridin-3-ylpyrimidin-2-yl)amino]piperidin-1-yl}-n-methylacetamide",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
166,"2-hexyloxy-6-hydroxymethyl-tetrahydro-pyran-3,4,5-triol",2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
167,lancovutide,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
168,triacetylchitotriose,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
169,"(3s)-3-hydroxy-1-methyl-2,3-dihydro-1h-indole-5,6-dione",2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
170,dipyrithione,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
171,succinic acid,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
172,piritrexim,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
173,"1-ethyl-pyrrolidine-2,5-dione",2,0,"[2, 5]",[],,,,,,0,0,0.0,0.0,0.0
174,omega-6 fatty acids,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
175,"6-(octahydro-1h-indol-1-ylmethyl)decahydroquinazoline-2,4-diamine",2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
176,"n-{2'-[(4-fluorophenyl)amino]-4,4'-bipyridin-2-yl}-4-methoxycyclohexanecarboxamide",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
177,"n6-(2,5-dimethoxy-benzyl)-n6-methyl-pyrido[2,3-d]pyrimidine-2,4,6-triamine",2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
178,tretazicar,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
179,choline magnesium trisalicylate,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
180,"2,4-diamino-6-[n-(2',5'-dimethoxybenzyl)-n-methylamino]quinazoline",2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
181,"(3z)-1-[(6-fluoro-4h-1,3-benzodioxin-8-yl)methyl]-4-phenyl-1h-indole-2,3-dione 3-oxime",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
182,phosphonothreonine,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
183,golotimod,2,1,"[3, 5]",[4],,,,,,0,0,0.0,0.0,0.0
184,"(4as)-5-[(2,4-diaminopteridin-6-yl)methyl]-4a,5-dihydro-2h-dibenzo[b,f]azepin-8-ol",2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
185,"2,6,8-trimethyl-3-amino-9-benzyl-9-methoxynonanoic acid",2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
186,"5-[(3r)-3-(5-methoxybiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine",2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
187,n-[2-(2-iodo-5-methoxy-1h-indol-3-yl)ethyl]acetamide,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
188,propyl alcohol,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
189,"cp-166572, 2-hydroxymethyl-4-(4-n,n-dimethylaminosulfonyl-1-piperazino)-pyrimidine",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
190,becatecarin,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
191,gw-590735,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
192,glatiramer,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
193,cu-cyclam,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
194,pyrethrum extract,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
195,hexadecanal,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
196,amonafide,2,0,"[3, 4]",[],,0.0,0.0,0.0,-0.2,0,0,0.0,0.0,-0.894427190999916
197,casimiroin,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
198,aldesleukin,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
199,"5,8-dimethoxy-1,4-dimethylquinolin-2(1h)-one",2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
200,declopramide,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
201,lestaurtinib,2,0,"[3, 4]",[],,0.0,1.0,1.0,0.1,0,0,1.4142135623730951,1.4142135623730951,0.447213595499958
202,darapladib,2,0,"[3, 4]",[],,0.0,0.0,0.0,-0.3,0,0,0.0,0.0,-1.3416407864998738
203,"cyclopropyl-{4-[5-(3,4-dichlorophenyl)-2-[(1-methyl)-piperidin]-4-yl-3-propyl-3h-imidazol-4-yl]-pyrimidin-2-yl}amine",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
204,"cyclohexyl-{4-[5-(3,4-dichlorophenyl)-2-piperidin-4-yl-3-propyl-3h-imidazol-4-yl]-pyrimidin-2-yl}amine",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
205,"5-[3-(2,5-dimethoxyphenyl)prop-1-yn-1-yl]-6-ethylpyrimidine-2,4-diamine",2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
206,"2,4-diamino-6-[n-(3',5'-dimethoxybenzyl)-n-methylamino]pyrido[2,3-d]pyrimidine",2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
207,"9-(4-hydroxyphenyl)-2,7-phenanthroline",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
208,"2,4-diamino-6-[n-(3',4',5'-trimethoxybenzyl)-n-methylamino]pyrido[2,3-d]pyrimidine",2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
209,tafluprost,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
210,(s)-aspartimide,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
211,menotropins,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
212,"(3z)-1-[(6-fluoro-4h-1,3-benzodioxin-8-yl)methyl]-4-[(e)-2-phenylethenyl]-1h-indole-2,3-dione 3-oxime",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
213,follitropin,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
214,puromycin aminonucleoside-5'-monophosphate,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
215,choriogonadotropin alfa,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
216,bosentan,2,0,"[3, 4]",[],,0.0,1.0,1.0,0.1,0,0,1.4142135623730951,1.4142135623730951,0.447213595499958
217,"[n-(2,4-diaminopteridin-6-yl)-methyl]-dibenz[b,f]azepine",2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
218,coumarin 120,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
