,drug_name,Cell senescence count,Cell senescence count marg,Cell senescence,Cell senescence marg,Cmap pAGE Cell senescence level1,Cmap pAGE Cell senescence level2,Cmap pAGE Cell senescence level3,Cmap pAGE Cell senescence level4,Cmap pAGE Cell senescence level5,Cmap pAGE Cell senescence level1 z_score,Cmap pAGE Cell senescence level2 z_score,Cmap pAGE Cell senescence level3 z_score,Cmap pAGE Cell senescence level4 z_score,Cmap pAGE Cell senescence level5 z_score
27,4-hydroxybenzaldehyde o-(cyclohexylcarbonyl)oxime,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
28,"4-[4-(2,5-dioxo-pyrrolidin-1-yl)-phenylamino]-4-hydroxy-butyric acid",4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
29,insulin pork,4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
30,4-amino-n-[4-(benzyloxy)phenyl]butanamide,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
31,xl228,4,0,"[1, 2, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
32,insulin lispro,4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
33,insulin beef,4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
34,chenodeoxycholic acid,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
35,cambinol,4,1,"[1, 2, 4, 5]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
36,insulin tregopil,4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
37,"3-(4-hydroxyphenyl)-4,5-dihydro-5-isoxazole-acetic acid methyl ester",4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
38,"3,4-dihydroxycinnamic acid",4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
39,4-hydroxyphenylpyruvic acid,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
40,insulin detemir,4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
41,migalastat,4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
42,7-hydroxy-2-oxo-chromene-3-carboxylic acid ethyl ester,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
43,3-fluoro-4-hydroxybenzaldehyde o-(cyclohexylcarbonyl)oxime,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
44,insulin degludec,4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
45,"n-[4-hydroxymethyl-cyclohexan-6-yl-1,2,3-triol]-4,6-dideoxy-4-aminoglucopyranoside",4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
46,selenocysteine,4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
47,"4-hydroxybenzaldehyde o-(3,3-dimethylbutanoyl)oxime",4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
48,"n-dodecyl-n,n-dimethyl-3-ammonio-1-propanesulfonate",4,0,"[1, 2, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
49,grn163l,4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
50,clavulanic acid,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
51,alanosine,4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
52,nelarabine,3,1,"[1, 2, 3]",[4],-1.0,-1.0,-0.7142857142857143,-0.125,-0.0967741935483871,-1.4142135623730951,-1.732050807568877,-1.8898223650461363,-0.5,-0.5388159060803247
53,gmx1777,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
54,4-nitrophenyl phosphate,3,0,"[1, 2, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
55,"9-(4-hydroxyphenyl)-2,7-phenanthroline",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
56,androstanedione,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
57,ceralasertib,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
58,2-({2-[(3-hydroxyphenyl)amino]pyrimidin-4-yl}amino)benzamide,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
59,guanadrel,3,0,"[3, 4, 5]",[],0.0,0.3333333333333333,0.1428571428571428,0.125,-0.032258064516129,0.0,0.5773502691896256,0.3779644730092272,0.5,-0.1796053020267748
60,1-[1-(3-aminophenyl)-3-tert-butyl-1h-pyrazol-5-yl]-3-naphthalen-1-ylurea,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
61,guanethidine,3,0,"[3, 4, 5]",[],0.0,-0.3333333333333333,0.4285714285714285,0.25,0.2258064516129032,0.0,-0.5773502691896256,1.1338934190276817,1.0,1.257237114187424
62,4-{[5-chloro-4-(1h-indol-3-yl)pyrimidin-2-yl]amino}-n-ethylpiperidine-1-carboxamide,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
63,"n-{3-[5-(1h-1,2,4-triazol-3-yl)-1h-indazol-3-yl]phenyl}furan-2-carboxamide",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
64,xen-2174,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
65,biopterin,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
66,alpha-d-quinovopyranose,3,0,"[1, 2, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
67,ozanimod,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
68,5-bromo-n-(3-chloro-2-(4-(prop-2-ynyl)piperazin-1-yl)phenyl)furan-2-carboxamide,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
69,5-hydroxymethyl-chonduritol,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
70,ph-797804,3,0,"[3, 4, 5]",[],-1.0,-0.6666666666666666,-0.8571428571428571,-0.3125,0.0,-1.4142135623730951,-1.1547005383792512,-2.2677868380553634,-1.25,0.0
71,4-(fluorophenyl)-1-cyclopropylmethyl-5-(2-amino-4-pyrimidinyl)imidazole,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
72,"n-(3-cyanophenyl)-2'-methyl-5'-(5-methyl-1,3,4-oxadiazol-2-yl)-4-biphenylcarboxamide",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
73,4-[4-(4-fluorophenyl)-2-[4-[(r)-methylsulfinyl]phenyl]-1h-imidazol-5-yl]pyridine,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
74,"4-{4-[(5-hydroxy-2-methylphenyl)amino]quinolin-7-yl}-1,3-thiazole-2-carbaldehyde",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
75,iobenguane sulfate i-123,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
76,inhibitor of p38 kinase,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
77,4-[5-[2-(1-phenyl-ethylamino)-pyrimidin-4-yl]-1-methyl-4-(3-trifluoromethylphenyl)-1h-imidazol-2-yl]-piperidine,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
78,iobenguane,3,0,"[3, 4, 5]",[],-1.0,-1.0,-0.7142857142857143,-0.125,-0.032258064516129,-1.4142135623730951,-1.732050807568877,-1.8898223650461363,-0.5,-0.1796053020267748
79,"cyclopropyl-{4-[5-(3,4-dichlorophenyl)-2-[(1-methyl)-piperidin]-4-yl-3-propyl-3h-imidazol-4-yl]-pyrimidin-2-yl}amine",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
80,daporinad,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
81,amitifadine,3,0,"[3, 4, 5]",[],0.0,0.3333333333333333,0.1428571428571428,0.125,0.0967741935483871,0.0,0.5773502691896256,0.3779644730092272,0.5,0.5388159060803247
82,farnesol,3,1,"[1, 2, 4]",[5],-1.0,-1.0,0.1428571428571428,-0.125,0.032258064516129,-1.4142135623730951,-1.732050807568877,0.3779644730092272,-0.5,0.1796053020267748
83,triazolopyridine,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
84,rauwolfia serpentina root,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
85,cytidine-5'-monophosphate-5-n-acetylneuraminic acid,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
86,insulin glargine,3,2,"[1, 2, 3]","[4, 5]",,,,,,0.0,0.0,0.0,0.0,0.0
87,insulin peglispro,3,2,"[1, 2, 3]","[4, 5]",,,,,,0.0,0.0,0.0,0.0,0.0
88,harmine,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
89,efaproxiral,3,2,"[1, 3, 4]","[2, 5]",1.0,0.3333333333333333,-0.4285714285714285,-0.25,-0.0967741935483871,1.4142135623730951,0.5773502691896256,-1.1338934190276817,-1.0,-0.5388159060803247
90,insulin aspart,3,2,"[1, 2, 3]","[4, 5]",,,,,,0.0,0.0,0.0,0.0,0.0
91,insulin argine,3,2,"[1, 2, 3]","[4, 5]",,,,,,0.0,0.0,0.0,0.0,0.0
92,clorgiline,3,0,"[3, 4, 5]",[],-1.0,-1.0,-0.1428571428571428,-0.25,-0.032258064516129,-1.4142135623730951,-1.732050807568877,-0.3779644730092272,-1.0,-0.1796053020267748
93,trimesic acid,3,2,"[1, 3, 4]","[2, 5]",,,,,,0.0,0.0,0.0,0.0,0.0
94,"(3z)-1-[(6-fluoro-4h-1,3-benzodioxin-8-yl)methyl]-4-[(e)-2-phenylethenyl]-1h-indole-2,3-dione 3-oxime",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
95,"2,6-dicarboxynaphthalene",3,2,"[1, 3, 4]","[2, 5]",,,,,,0.0,0.0,0.0,0.0,0.0
96,cx157,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
97,n-benzyl-4-[4-(3-chlorophenyl)-1h-pyrazol-3-yl]-1h-pyrrole-2-carboxamide,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
98,bufotenine,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
99,4-carboxycinnamic acid,3,2,"[1, 3, 4]","[2, 5]",,,,,,0.0,0.0,0.0,0.0,0.0
100,brofaromine,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
101,xl820,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
102,toloxatone,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
103,4-[(5-methoxy-2-methylphenoxy)methyl]pyridine,3,2,"[1, 3, 4]","[2, 5]",,,,,,0.0,0.0,0.0,0.0,0.0
104,chs-828,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
105,decyl(dimethyl)phosphine oxide,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
106,"2-fluoro-6-{[2-({2-methoxy-4-[(methylsulfonyl)methyl]phenyl}amino)-7h-pyrrolo[2,3-d]pyrimidin-4-yl]amino}benzamide",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
107,s-(methylmercury)-l-cysteine,3,1,"[1, 2, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
108,phentermine,3,0,"[3, 4, 5]",[],-1.0,-0.3333333333333333,-0.7142857142857143,-0.5,-0.1612903225806451,-1.4142135623730951,-0.5773502691896256,-1.8898223650461363,-2.0,-0.8980265101338745
109,"3,20-pregnanedione",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
110,phosphatidylethanolamine,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
111,4-[5-(3-iodo-phenyl)-2-(4-methanesulfinyl-phenyl)-1h-imidazol-4-yl]-pyridine,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
112,amineptine,3,0,"[3, 4, 5]",[],-1.0,-1.0,0.1428571428571428,-0.125,0.2258064516129032,-1.4142135623730951,-1.732050807568877,0.3779644730092272,-0.5,1.257237114187424
113,"4-[3-methylsulfanylanilino]-6,7-dimethoxyquinazoline",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
114,sd-0006,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
115,bicifadine,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
116,elacytarabine,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
117,"n-cyclopropyl-2',6-dimethyl-4'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-3-carboxamide",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
118,"n-cyclopropyl-3-{[1-(2,4-difluorophenyl)-7-methyl-6-oxo-6,7-dihydro-1h-pyrazolo[3,4-b]pyridin-4-yl]amino}-4-methylbenzamide",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
119,phenylalanine,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
120,n-cyclopropyl-4-methyl-3-[1-(2-methylphenyl)phthalazin-6-yl]benzamide,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
121,n-cyclopropyl-4-methyl-3-{2-[(2-morpholin-4-ylethyl)amino]quinazolin-6-yl}benzamide,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
122,"2-(2,6-difluorophenoxy)-n-(2-fluorophenyl)-9-isopropyl-9h-purin-8-amine",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
123,r-1487,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
124,"(3z)-1-[(6-fluoro-4h-1,3-benzodioxin-8-yl)methyl]-4-phenyl-1h-indole-2,3-dione 3-oxime",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
125,"n-ethyl-4-{[5-(methoxycarbamoyl)-2-methylphenyl]amino}-5-methylpyrrolo[2,1-f][1,2,4]triazine-6-carboxamide",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
126,4-(4-fluorophenyl)-1-cycloropropylmethyl-5-(4-pyridyl)-imidazole,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
127,"1-(3-bromophenyl)-7-chloro-6-methoxy-3,4-dihydroisoquinoline",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
128,doramapimod,3,0,"[3, 4, 5]",[],0.0,-0.3333333333333333,-0.1428571428571428,0.0,0.032258064516129,0.0,-0.5773502691896256,-0.3779644730092272,0.0,0.1796053020267748
129,4-[3-(4-fluorophenyl)-1h-pyrazol-4-yl]pyridine,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
130,sb220025,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
131,"n-(3-cyano-4,5,6,7-tetrahydro-1-benzothien-2-yl)-2-fluorobenzamide",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
132,"(3e)-5-fluoro-1-[(6-fluoro-4h-1,3-benzodioxin-8-yl)methyl]-1h-indole-2,3-dione 3-oxime",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
133,1-(5-tert-butyl-2-methyl-2h-pyrazol-3-yl)-3-(4-chloro-phenyl)-urea,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
134,"1-(2,6-dichlorophenyl)-5-(2,4-difluorophenyl)-7-piperidin-4-yl-3,4-dihydroquinolin-2(1h)-one",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
135,"1-(2,6-dichlorophenyl)-5-(2,4-difluorophenyl)-7-piperazin-1-yl-3,4-dihydroquinazolin-2(1h)-one",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
136,haloxyfop-p,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
137,soraphen a,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
138,[5-amino-1-(4-fluorophenyl)-1h-pyrazol-4-yl][3-(piperidin-4-yloxy)phenyl]methanone,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
139,"2-[4-(2,4-dichlorophenoxy)phenoxy]propanoic acid",3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
140,"[5-amino-1-(4-fluorophenyl)-1h-pyrazol-4-yl](3-{[(2r)-2,3-dihydroxypropyl]oxy}phenyl)methanone",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
141,crx-119,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
142,troxacitabine,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
143,n-[4-chloro-3-(pyridin-3-yloxymethyl)-phenyl]-3-fluoro-,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
144,4-(2-hydroxybenzylamino)-n-(3-(4-fluorophenoxy)phenyl)piperidine-1-sulfonamide,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
145,"n-[2-methyl-5-(methylcarbamoyl)phenyl]-2-{[(1r)-1-methylpropyl]amino}-1,3-thiazole-5-carboxamide",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
146,"6-hydroxy-1,3-benzothiazole-2-sulfonamide",3,1,"[2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
147,"cyclohexyl-{4-[5-(3,4-dichlorophenyl)-2-piperidin-4-yl-3-propyl-3h-imidazol-4-yl]-pyrimidin-2-yl}amine",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
148,"2-{4-[(4-imidazo[1,2-a]pyridin-3-ylpyrimidin-2-yl)amino]piperidin-1-yl}-n-methylacetamide",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
149,"n,4-dimethyl-3-[(1-phenyl-1h-pyrazolo[3,4-d]pyrimidin-4-yl)amino]benzamide",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
150,n-(tert-butyl)-4-[5-(pyridin-2-ylamino)quinolin-3-yl]benzenesulfonamide,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
151,dexmethylphenidate,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
152,dasotraline,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
153,n-(3-tert-butyl-1h-pyrazol-5-yl)-n'-{4-chloro-3-[(pyridin-3-yloxy)methyl]phenyl}urea,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
154,4-phenoxy-n-(pyridin-2-ylmethyl)benzamide,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
155,"n-{2'-[(4-fluorophenyl)amino]-4,4'-bipyridin-2-yl}-4-methoxycyclohexanecarboxamide",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
156,2-fluoro-4-[4-(4-fluorophenyl)-1h-pyrazol-3-yl]pyridine,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
157,"n-(cyclopropylmethyl)-2'-methyl-5'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-4-carboxamide",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
158,"n-[(3z)-5-tert-butyl-2-phenyl-1,2-dihydro-3h-pyrazol-3-ylidene]-n'-(4-chlorophenyl)urea",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
159,3-fluoro-5-morpholin-4-yl-n-[3-(2-pyridin-4-ylethyl)-1h-indol-5-yl]benzamide,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
160,"n-cyclohexyl-4-imidazo[1,2-a]pyridin-3-yl-n-methylpyrimidin-2-amine",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
161,6((s)-3-benzylpiperazin-1-yl)-3-(naphthalen-2-yl)-4-(pyridin-4-yl)pyrazine,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
162,3-(1-naphthylmethoxy)pyridin-2-amine,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
163,2-chlorophenol,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
164,3-fluoro-n-1h-indol-5-yl-5-morpholin-4-ylbenzamide,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
165,"3-(2-chlorophenyl)-1-(2-{[(1s)-2-hydroxy-1,2-dimethylpropyl]amino}pyrimidin-4-yl)-1-(4-methoxyphenyl)urea",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
166,"3-(4-fluorophenyl)-1-hydroxy-2-(pyridin-4-yl)-1h-pyrrolo[3,2-b]pyridine",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
167,2-(ethoxymethyl)-4-(4-fluorophenyl)-3-[2-(2-hydroxyphenoxy)pyrimidin-4-yl]isoxazol-5(2h)-one,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
