,drug_name,Genomic instability count,Genomic instability count marg,Genomic instability,Genomic instability marg,Cmap pAGE Genomic instability level1,Cmap pAGE Genomic instability level2,Cmap pAGE Genomic instability level3,Cmap pAGE Genomic instability level4,Cmap pAGE Genomic instability level5,Cmap pAGE Genomic instability level1 z_score,Cmap pAGE Genomic instability level2 z_score,Cmap pAGE Genomic instability level3 z_score,Cmap pAGE Genomic instability level4 z_score,Cmap pAGE Genomic instability level5 z_score
46,2-{[formyl(hydroxy)amino]methyl}-4-methylpentanoic acid,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
47,pg-530742,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
48,l-myo-inositol-1-phosphate,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
49,cordycepin triphosphate,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
50,migalastat,2,1,"[1, 2]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
51,triphosphoric acid,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
52,sapropterin,2,0,"[2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
53,2-(4-chlorophenyl)-5-quinoxalinecarboxamide,2,0,"[4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
54,azelaic acid,2,0,"[2, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
55,andrographolide,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
56,lx1031,2,0,"[2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
57,"(1'r,2's)-9-(2-hydroxy-3'-keto-cyclopenten-1-yl)adenine",2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
58,nelarabine,2,1,"[1, 5]",[4],-1.0,0.0,0.0,0.12,0.0136986301369863,-1.0,0.0,0.0,0.6,0.1655211777204736
59,gallium maltolate,2,0,"[2, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
60,tosedostat,2,0,"[1, 3]",[],-1.0,0.0,-0.3333333333333333,-0.2,0.0410958904109589,-1.0,0.0,-0.8164965809277259,-1.0,0.4965635331614207
61,fibrinolysin,2,0,"[2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
62,"5-fluoro-1-[4-(4-phenyl-3,6-dihydropyridin-1(2h)-yl)butyl]quinazoline-2,4(1h,3h)-dione",2,0,"[4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
63,iniparib,2,0,"[4, 5]",[],1.0,1.0,0.6666666666666666,0.28,0.1232876712328767,1.0,1.4142135623730951,1.6329931618554518,1.4,1.4896905994842622
64,lucanthone,2,0,"[2, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
65,onapristone,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
66,dyclonine,2,0,"[4, 5]",[],-1.0,-1.0,-0.6666666666666666,-0.2,-0.0958904109589041,-1.0,-1.4142135623730951,-1.6329931618554518,-1.0,-1.158648244043315
67,ecabet,2,0,"[3, 4]",[],1.0,0.0,-0.6666666666666666,-0.12,0.0273972602739726,1.0,0.0,-1.6329931618554518,-0.6,0.3310423554409472
68,ardeparin,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
69,mepivacaine,2,0,"[4, 5]",[],1.0,0.0,0.3333333333333333,-0.04,0.0,1.0,0.0,0.8164965809277259,-0.1999999999999999,0.0
70,phosphorylcolamine,2,0,"[4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
71,sulodexide,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
72,5-[4-(dimethylamino)phenyl]-6-[(6-morpholin-4-ylpyridin-3-yl)ethynyl]pyrimidin-4-amine,2,0,"[2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
73,"7-(5-deoxy-beta-d-ribofuranosyl)-5-iodo-7h-pyrrolo[2,3-d]pyrimidin-4-amine",2,0,"[2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
74,phosphonothreonine,2,0,"[3, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
75,nitrofural,2,1,"[2, 3]",[4],1.0,1.0,0.0,0.04,0.0136986301369863,1.0,1.4142135623730951,0.0,0.1999999999999999,0.1655211777204736
76,myrrh,2,0,"[1, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
77,eribulin,2,1,"[2, 5]",[1],,,,,,0.0,0.0,0.0,0.0,0.0
78,epigallocatechin gallate,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
79,calcifediol,2,2,"[1, 2]","[3, 5]",-1.0,-1.0,-0.6666666666666666,-0.28,0.0,-1.0,-1.4142135623730951,-1.6329931618554518,-1.4,0.0
80,nicotinamide,2,0,"[3, 4]",[],-1.0,0.0,0.3333333333333333,0.28,0.1232876712328767,-1.0,0.0,0.8164965809277259,1.4,1.4896905994842622
81,das869,2,1,"[2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
82,bemiparin,2,1,"[1, 2]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
83,nitisinone,2,1,"[2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
84,isosorbide mononitrate,2,1,"[3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
85,opaganib,2,1,"[2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
86,eravacycline,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
87,"4,4'-bis([h]methylsulfonyl)-2,2',5,5'-tetrachlorobiphenyl",2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
88,niraxostat,2,1,"[2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
89,l-eflornithine,2,0,"[2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
90,oxypurinol,2,1,"[2, 3]",[4],1.0,0.0,-0.3333333333333333,-0.2,0.0821917808219178,1.0,0.0,-0.8164965809277259,-1.0,0.9931270663228416
91,3-methoxybenzamide,2,0,"[4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
92,"3,4-dihydro-5-methyl-isoquinolinone",2,1,"[4, 5]",[1],,,,,,0.0,0.0,0.0,0.0,0.0
93,"(3r)-4,4-difluoro-3-[(4-methoxyphenyl)sulfonyl]butanoic acid",2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
94,"2-{3-[4-(4-fluorophenyl)-3,6-dihydro-1(2h)-pyridinyl]propyl}-8-methyl-4(3h)-quinazolinone",2,1,"[4, 5]",[1],,,,,,0.0,0.0,0.0,0.0,0.0
95,pd150606,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
96,4-deoxy-alpha-d-glucose,2,0,"[1, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
97,cladribine,2,0,"[3, 5]",[],1.0,0.0,-0.3333333333333333,-0.2,-0.1780821917808219,1.0,0.0,-0.8164965809277259,-1.0,-2.1517753103661565
98,"1,1,1,3,3,3-hexafluoro-2-{4-[(2,2,2-trifluoroethyl)amino]phenyl}propan-2-ol",2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
99,isosorbide,2,0,"[3, 4]",[],-1.0,0.0,0.0,0.2,0.1506849315068493,-1.0,0.0,0.0,1.0,1.8207329549252096
100,capsaicin,2,0,"[3, 4]",[],1.0,0.0,-0.3333333333333333,-0.28,0.0410958904109589,1.0,0.0,-0.8164965809277259,-1.4,0.4965635331614207
101,ularitide,2,0,"[2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
102,finasteride,2,0,"[3, 4]",[],-1.0,-1.0,-0.3333333333333333,-0.12,-0.0273972602739726,-1.0,-1.4142135623730951,-0.8164965809277259,-0.6,-0.3310423554409472
103,"(3ar,6r,6as)-6-((s)-((s)-cyclohex-2-enyl)(hydroxy)methyl)-6a-methyl-4-oxo-hexahydro-2h-furo[3,2-c]pyrrole-6-carbaldehyde",2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
104,proparacaine,2,0,"[4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
105,arginineamide,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
106,a-620223,2,1,"[4, 5]",[1],,,,,,0.0,0.0,0.0,0.0,0.0
107,alanosine,2,1,"[1, 2]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
108,(s)-alpha-methyl-4-carboxyphenylglycine,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
109,kelatorphan,2,1,"[1, 2]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
110,"3h-pyrazolo[4,3-d]pyrimidin-7-ol",2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
111,4-amino-n-[4-(benzyloxy)phenyl]butanamide,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
112,"5-[2-(4-hydroxyphenyl)ethyl]benzene-1,3-diol",2,1,"[1, 2]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
113,n-methyl-1-(2-thiophen-2-ylphenyl)methanamine,2,1,"[1, 2]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
114,n-[4-(benzyloxy)phenyl]glycinamide,2,1,"[1, 2]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
115,(r)-pyridin-4-yl[4-(2-pyrrolidin-1-ylethoxy)phenyl]methanol,2,1,"[1, 2]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
116,tesaglitazar,2,0,"[1, 2]",[],-1.0,0.0,-0.6666666666666666,-0.2,-0.0273972602739726,-1.0,0.0,-1.6329931618554518,-1.0,-0.3310423554409472
117,tropifexor,2,1,"[1, 2]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
118,romosozumab,2,1,"[1, 2]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
119,"1-(2,2'-bithiophen-5-yl)methanamine",2,1,"[1, 2]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
120,isoflavone,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
121,ragaglitazar,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
122,gamma-glutamyl[s-(2-iodobenzyl)cysteinyl]glycine,2,1,"[3, 4]",[2],,,,,,0.0,0.0,0.0,0.0,0.0
123,{4-[(2r)-pyrrolidin-2-ylmethoxy]phenyl}(4-thiophen-3-ylphenyl)methanone,2,1,"[1, 2]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
124,(2s)-2-amino-5-oxo-5-[(4-phenylmethoxyphenyl)amino]pentanoic acid,2,1,"[1, 2]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
125,"2-amino-n,3,3-trimethylbutanamide",2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
126,perifosine,2,0,"[1, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
127,dg051,2,1,"[1, 2]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
128,5-[2-(1h-pyrrol-1-yl)ethoxy]-1h-indole,2,1,"[1, 2]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
129,flavone,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
130,n-(pyridin-3-ylmethyl)aniline,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
131,calcipotriol,2,2,"[2, 3]","[1, 4]",1.0,0.0,0.0,-0.36,-0.0616438356164383,1.0,0.0,0.0,-1.7999999999999998,-0.7448452997421311
132,n-benzyl-4-[(2r)-pyrrolidin-2-ylmethoxy]aniline,2,1,"[1, 2]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
133,(4-fluorophenyl)(pyridin-4-yl)methanone,2,1,"[1, 2]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
134,1-(4-thiophen-2-ylphenyl)methanamine,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
135,"4-(2-amino-1,3-thiazol-4-yl)phenol",2,1,"[1, 2]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
136,taurochenodeoxycholic acid,2,1,"[1, 3]",[2],,,,,,0.0,0.0,0.0,0.0,0.0
137,nidufexor,2,1,"[1, 2]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
138,reglitazar,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
139,fexaramine,2,1,"[1, 2]",[3],1.0,0.0,-0.3333333333333333,-0.36,-0.0136986301369863,1.0,0.0,-0.8164965809277259,-1.7999999999999998,-0.1655211777204736
140,"n-cyclohexyl-4-imidazo[1,2-a]pyridin-3-yl-n-methylpyrimidin-2-amine",1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
141,obatoclax,1,0,[5],[],-1.0,-1.0,-0.3333333333333333,-0.52,-0.1917808219178082,-1.0,-1.4142135623730951,-0.8164965809277259,-2.6,-2.31729648808663
142,"n-cyclopropyl-4-pyrazolo[1,5-b]pyridazin-3-ylpyrimidin-2-amine",1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
143,3-tyrosine,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
144,xl844,1,0,[1],[],,,,,,0.0,0.0,0.0,0.0,0.0
145,"(3z)-6-(4-hydroxy-3-methoxyphenyl)-3-(1h-pyrrol-2-ylmethylene)-1,3-dihydro-2h-indol-2-one",1,0,[1],[],,,,,,0.0,0.0,0.0,0.0,0.0
146,"4-(2,4-dimethyl-1,3-thiazol-5-yl)-n-[4-(trifluoromethyl)phenyl]-2-pyrimidinamine",1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
147,o6-cyclohexylmethoxy-2-(4'-sulphamoylanilino) purine,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
148,prexasertib,1,0,[1],[],,,,,,0.0,0.0,0.0,0.0,0.0
149,(2r)-2-({9-(1-methylethyl)-6-[(4-pyridin-2-ylbenzyl)amino]-9h-purin-2-yl}amino)butan-1-ol,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
150,2-anilino-6-cyclohexylmethoxypurine,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
151,plinabulin,1,0,[1],[],,,,,,0.0,0.0,0.0,0.0,0.0
152,"(3e)-5-fluoro-1-[(6-fluoro-4h-1,3-benzodioxin-8-yl)methyl]-1h-indole-2,3-dione 3-oxime",1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
153,"1,2-dihexadecanoyl-sn-glycero-3-phosphoethanolamine",1,0,[3],[],,,,,,0.0,0.0,0.0,0.0,0.0
154,"1-(3,5-dichlorophenyl)-5-methyl-1h-1,2,4-triazole-3-carboxylic acid",1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
155,1-cyclohexyl-n-{[1-(4-methylphenyl)-1h-indol-3-yl]methyl}methanamine,1,1,[1],[2],,,,,,0.0,0.0,0.0,0.0,0.0
156,suvn-502,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
157,"1-methyl-8-(phenylamino)-4,5-dihydro-1h-pyrazolo[4,3-h]quinazoline-3-carboxylic acid",1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
158,"1-[4-(aminosulfonyl)phenyl]-1,6-dihydropyrazolo[3,4-e]indazole-3-carboxamide",1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
159,sgn-30,1,0,[1],[],,,,,,0.0,0.0,0.0,0.0,0.0
160,sgs518,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
161,sns-032,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
162,retifanlimab,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
163,3-(6-cyclohexylmethoxy-9h-purin-2-ylamino)-benzenesulfonamide,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
164,3-({2-[(4-{[6-(cyclohexylmethoxy)-9h-purin-2-yl]amino}phenyl)sulfonyl]ethyl}amino)propan-1-ol,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
165,"(2r)-2-{[4-(benzylamino)-8-(1-methylethyl)pyrazolo[1,5-a][1,3,5]triazin-2-yl]amino}butan-1-ol",1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
166,nialamide,1,0,[1],[],-1.0,0.0,0.6666666666666666,0.2,0.1643835616438356,-1.0,0.0,1.6329931618554518,1.0,1.986254132645683
167,paclitaxel docosahexaenoic acid,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
168,atibuclimab,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
169,onercept,1,0,[1],[],,,,,,0.0,0.0,0.0,0.0,0.0
170,pn0621,1,0,[1],[],,,,,,0.0,0.0,0.0,0.0,0.0
171,5-bromo-n-(3-chloro-2-(4-(prop-2-ynyl)piperazin-1-yl)phenyl)furan-2-carboxamide,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
172,cyt007-tnfqb,1,0,[1],[],,,,,,0.0,0.0,0.0,0.0,0.0
173,"5h-pyrrolo[3,2-d]pyrimidin-4-amine",1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
174,declopramide,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
175,desoxycorticosterone acetate,1,1,[3],[4],,,,,,0.0,0.0,0.0,0.0,0.0
176,indigo,1,1,[1],[2],,,,,,0.0,0.0,0.0,0.0,0.0
177,ame-527,1,0,[1],[],,,,,,0.0,0.0,0.0,0.0,0.0
178,aldesleukin,1,0,[3],[],,,,,,0.0,0.0,0.0,0.0,0.0
179,"4-{5-[(z)-(2-imino-4-oxo-1,3-thiazolidin-5-ylidene)methyl]furan-2-yl}-2-(trifluoromethyl)benzenesulfonamide",1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
180,apoptone,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
181,etynodiol,1,0,[3],[],,,,,,0.0,0.0,0.0,0.0,0.0
182,ambroxol,1,0,[3],[],1.0,0.0,-0.3333333333333333,-0.2,-0.0273972602739726,1.0,0.0,-0.8164965809277259,-1.0,-0.3310423554409472
183,amonafide,1,0,[5],[],-1.0,0.0,0.3333333333333333,0.04,-0.0821917808219178,-1.0,0.0,0.8164965809277259,0.1999999999999999,-0.9931270663228416
184,gevokizumab,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
185,trifluoroacetonyl coenzyme a,1,0,[1],[],,,,,,0.0,0.0,0.0,0.0,0.0
186,"5-[5,6-bis(methyloxy)-1h-benzimidazol-1-yl]-3-{[1-(2-chlorophenyl)ethyl]oxy}-2-thiophenecarboxamide",1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
187,desoxycorticosterone pivalate,1,1,[3],[4],,,,,,0.0,0.0,0.0,0.0,0.0
188,dexanabinol,1,0,[1],[],,,,,,0.0,0.0,0.0,0.0,0.0
189,dienogest,1,0,[3],[],-1.0,0.0,0.3333333333333333,-0.04,0.0410958904109589,-1.0,0.0,0.8164965809277259,-0.1999999999999999,0.4965635331614207
190,pr-104,1,0,[1],[],,,,,,0.0,0.0,0.0,0.0,0.0
191,prx-07034,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
192,p54,1,0,[1],[],,,,,,0.0,0.0,0.0,0.0,0.0
193,"4-{5-[(z)-(2-imino-4-oxo-1,3-thiazolidin-5-ylidene)methyl]-2-furyl}-n-methylbenzenesulfonamide",1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
194,"4-{5-[(z)-(2-imino-4-oxo-1,3-thiazolidin-5-ylidene)methyl]furan-2-yl}benzenesulfonamide",1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
195,6-o-cyclohexylmethyl guanine,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
196,"rel-(9r,12s)-9,10,11,12-tetrahydro-9,12-epoxy-1h-diindolo[1,2,3-fg:3',2',1'-kl]pyrrolo[3,4-i][1,6]benzodiazocine-1,3(2h)-dione",1,0,[1],[],,,,,,0.0,0.0,0.0,0.0,0.0
197,6-cyclohexylmethoxy-2-(3'-chloroanilino) purine,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
198,becatecarin,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
199,6-cyclohexylmethyloxy-2-(4'-hydroxyanilino)purine,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
200,"4-(6-{[(4-methylcyclohexyl)amino]methyl}-1,4-dihydroindeno[1,2-c]pyrazol-3-yl)benzoic acid",1,0,[1],[],,,,,,0.0,0.0,0.0,0.0,0.0
201,cerulenin,1,0,[1],[],1.0,0.0,-0.3333333333333333,-0.04,0.1643835616438356,1.0,0.0,-0.8164965809277259,-0.1999999999999999,1.986254132645683
202,"4-(5-phenyl-1h-pyrrolo[2,3-b]pyridin-3-yl)benzoic acid",1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
203,infliximab,1,0,[1],[],,,,,,0.0,0.0,0.0,0.0,0.0
204,2-(cyclohexylamino)benzoic acid,1,0,[1],[],,,,,,0.0,0.0,0.0,0.0,0.0
