,drug_name,Mitochondrial dysfunction count,Mitochondrial dysfunction count marg,Mitochondrial dysfunction,Mitochondrial dysfunction marg,Cmap pAGE Mitochondrial dysfunction level1,Cmap pAGE Mitochondrial dysfunction level2,Cmap pAGE Mitochondrial dysfunction level3,Cmap pAGE Mitochondrial dysfunction level4,Cmap pAGE Mitochondrial dysfunction level5,Cmap pAGE Mitochondrial dysfunction level1 z_score,Cmap pAGE Mitochondrial dysfunction level2 z_score,Cmap pAGE Mitochondrial dysfunction level3 z_score,Cmap pAGE Mitochondrial dysfunction level4 z_score,Cmap pAGE Mitochondrial dysfunction level5 z_score
19,hydrogen peroxide,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
20,archexin,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
21,4-[(5-methoxy-2-methylphenoxy)methyl]pyridine,4,1,"[1, 2, 3, 5]",[4],,,,,,0,0.0,0.0,0.0,0.0
22,"(3s,5e)-3-propyl-3,4-dihydrothieno[2,3-f][1,4]oxazepin-5(2h)-imine",4,0,"[1, 2, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
23,ezatiostat,4,1,"[1, 3, 4, 5]",[2],,,,,,0,0.0,0.0,0.0,0.0
24,s-oxy-l-cysteine,4,0,"[2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
25,s-nonyl-cysteine,4,1,"[1, 3, 4, 5]",[2],,,,,,0,0.0,0.0,0.0,0.0
26,"n-[(1s)-2-amino-1-phenylethyl]-5-(1h-pyrrolo[2,3-b]pyridin-4-yl)thiophene-2-carboxamide",4,0,"[1, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
27,navitoclax,4,0,"[2, 3, 4, 5]",[],0.0,0.0,0.0588235294117647,-0.1034482758620689,-0.1395348837209302,0,0.0,0.2425356250363329,-0.5570860145311556,-1.829982843991256
28,alpha-tocopherol succinate,4,1,"[2, 3, 4, 5]",[1],,,,,,0,0.0,0.0,0.0,0.0
29,(3-carboxy-2-(r)-hydroxy-propyl)-trimethyl-ammonium,4,0,"[1, 2, 3, 4]",[],,,,,,0,0.0,0.0,0.0,0.0
30,benzene hexacarboxylic acid,4,0,"[1, 2, 3, 4]",[],,,,,,0,0.0,0.0,0.0,0.0
31,3-phosphono-d-alanine,4,0,"[1, 2, 3, 4]",[],,,,,,0,0.0,0.0,0.0,0.0
32,s-(4-bromobenzyl)cysteine,4,0,"[1, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
33,lithium carbonate,4,0,"[1, 2, 3, 4]",[],,,,,,0,0.0,0.0,0.0,0.0
34,sebacic acid,4,1,"[1, 2, 3, 5]",[4],,,,,,0,0.0,0.0,0.0,0.0
35,halicin,4,0,"[1, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
36,pimasertib,4,0,"[1, 2, 3, 4]",[],,,,,,0,0.0,0.0,0.0,0.0
37,alsterpaullone,4,0,"[1, 3, 4, 5]",[],0.0,0.0,0.2941176470588235,0.1724137931034483,-0.1046511627906976,0,0.0,1.212678125181665,0.9284766908852594,-1.372487132993442
38,s-(4-nitrobenzyl)glutathione,4,1,"[1, 3, 4, 5]",[2],,,,,,0,0.0,0.0,0.0,0.0
39,"2,6-dicarboxynaphthalene",4,1,"[1, 2, 3, 5]",[4],,,,,,0,0.0,0.0,0.0,0.0
40,glutathione disulfide,4,0,"[2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
41,canavanine,4,0,"[1, 2, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
42,"inositol 1,3,4,5-tetrakisphosphate",4,1,"[1, 2, 3, 4]",[5],,,,,,0,0.0,0.0,0.0,0.0
43,pam2csk4,4,0,"[1, 2, 3, 4]",[],,,,,,0,0.0,0.0,0.0,0.0
44,flavin adenine dinucleotide,4,0,"[2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
45,se-ethyl-isoselenourea,4,0,"[1, 2, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
46,canfosfamide,4,1,"[1, 3, 4, 5]",[2],,,,,,0,0.0,0.0,0.0,0.0
47,vitamin e,4,0,"[1, 2, 3, 4]",[],,,,,,0,0.0,0.0,0.0,0.0
48,nicotinamide adenine dinucleotide phosphate,4,0,"[2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
49,7-nitroindazole-2-carboxamidine,4,0,"[1, 2, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
50,trimesic acid,4,1,"[1, 2, 3, 5]",[4],,,,,,0,0.0,0.0,0.0,0.0
51,"d-gluco-2,5-anhydro-1-deoxy-1-phosphonohexitol-6-phosphate",4,0,"[1, 2, 3, 4]",[],,,,,,0,0.0,0.0,0.0,0.0
52,oxaliplatin,4,1,"[2, 3, 4, 5]",[1],,,,,,0,0.0,0.0,0.0,0.0
53,glutathione,4,0,"[2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
54,selenium,4,0,"[1, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
55,4-carboxycinnamic acid,4,1,"[1, 2, 3, 5]",[4],,,,,,0,0.0,0.0,0.0,0.0
56,glycolic acid,4,0,"[2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
57,16-bromoepiandrosterone,4,0,"[2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
58,pyrazolanthrone,4,0,"[1, 3, 4, 5]",[],0.0,1.0,0.5294117647058824,0.3103448275862069,0.063953488372093,0,1.4142135623730951,2.182820625326997,1.6712580435934667,0.8387421368293257
59,iclaprim,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
60,"3-[3-(2,3-dihydroxy-propylamino)-phenyl]-4-(5-fluoro-1-methyl-1h-indol-3-yl)-pyrrole-2,5-dione",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
61,tideglusib,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
62,"5-[(3r)-3-(5-methoxybiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
63,3-fluoro-l-tyrosine,3,1,"[3, 4, 5]",[2],,,,,,0,0.0,0.0,0.0,0.0
64,"5-[(3r)-3-(5-methoxy-2',6'-dimethylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
65,"5-[(3r)-3-(5-methoxy-4'-methylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
66,n-(chlorophenyl)-n'-hydroxyguanidine,3,1,"[1, 4, 5]",[2],,,,,,0,0.0,0.0,0.0,0.0
67,"2,4-diamino-5-methyl-6-[(3,4,5-trimethoxy-n-methylanilino)methyl]pyrido[2,3-d]pyrimidine",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
68,7-thionicotinamide-adenine-dinucleotide phosphate,3,0,"[1, 2, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
69,n(g)-iminoethylornithine,3,1,"[1, 4, 5]",[2],,,,,,0,0.0,0.0,0.0,0.0
70,"2-fluoro-6-{[2-({2-methoxy-4-[(methylsulfonyl)methyl]phenyl}amino)-7h-pyrrolo[2,3-d]pyrimidin-4-yl]amino}benzamide",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
71,"2,4-diamino-5-(3,4,5-trimethoxy-benzyl)-pyrimidin-1-ium",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
72,"5-[(3r)-3-(5-methoxy-3',5'-dimethylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
73,6-bromoindirubin-3'-oxime,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
74,"(7s)-2-(2-aminopyrimidin-4-yl)-7-(2-fluoroethyl)-1,5,6,7-tetrahydro-4h-pyrrolo[3,2-c]pyridin-4-one",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
75,"5-[1-(4-methoxyphenyl)-1h-benzimidazol-6-yl]-1,3,4-oxadiazole-2(3h)-thione",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
76,sb-409513,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
77,ar-ao-14418,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
78,"2-(1,3-benzodioxol-5-yl)-5-[(3-fluoro-4-methoxybenzyl)sulfanyl]-1,3,4-oxadiazole",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
79,2-aminothiazoline,3,1,"[1, 4, 5]",[2],,,,,,0,0.0,0.0,0.0,0.0
80,"n1,n14-bis((s-methyl)isothioureido)tetradecane",3,1,"[1, 4, 5]",[2],,,,,,0,0.0,0.0,0.0,0.0
81,"2-[4-({[(3,5-dichlorophenyl)amino]carbonyl}amino)phenoxy]-2-methylpropanoic acid",3,2,"[1, 2, 5]","[3, 4]",,,,,,0,0.0,0.0,0.0,0.0
82,efaproxiral,3,2,"[1, 2, 5]","[3, 4]",0.0,1.0,-0.2941176470588235,-0.1034482758620689,0.1046511627906976,0,1.4142135623730951,-1.212678125181665,-0.5570860145311556,1.372487132993442
83,l-homoarginine,3,1,"[1, 4, 5]",[2],,,,,,0,0.0,0.0,0.0,0.0
84,"n6-(2,5-dimethoxy-benzyl)-n6-methyl-pyrido[2,3-d]pyrimidine-2,4,6-triamine",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
85,"1,2,4-triazole-carboxamidine",3,1,"[1, 4, 5]",[2],,,,,,0,0.0,0.0,0.0,0.0
86,sapropterin,3,0,"[2, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
87,s-isopropyl-isothiourea,3,1,"[1, 4, 5]",[2],,,,,,0,0.0,0.0,0.0,0.0
88,"2,4-diamino-6-phenyl-5,6,7,8,-tetrahydropteridine",3,1,"[1, 4, 5]",[2],,,,,,0,0.0,0.0,0.0,0.0
89,n-[(4-hydroxy-8-iodoisoquinolin-3-yl)carbonyl]glycine,3,0,"[1, 2, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
90,"5,6-cyclic-tetrahydropteridine",3,1,"[1, 4, 5]",[2],,,,,,0,0.0,0.0,0.0,0.0
91,"6s-5,6,7,8-tetrahydrobiopterin",3,1,"[1, 4, 5]",[2],,,,,,0,0.0,0.0,0.0,0.0
92,"s,s'-(1,4-phenylene-bis(1,2-ethanediyl))bis-isothiourea",3,1,"[1, 4, 5]",[2],,,,,,0,0.0,0.0,0.0,0.0
93,"s,s'-(1,3-phenylene-bis(1,2-ethanediyl))bis-isothiourea",3,1,"[1, 4, 5]",[2],,,,,,0,0.0,0.0,0.0,0.0
94,2-[(2-methoxy-5-methylphenoxy)methyl]pyridine,3,2,"[1, 2, 5]","[3, 4]",,,,,,0,0.0,0.0,0.0,0.0
95,2-({2-[(3-hydroxyphenyl)amino]pyrimidin-4-yl}amino)benzamide,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
96,"2,4-diamino-6-[n-(2',5'-dimethoxybenzyl)-n-methylamino]quinazoline",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
97,cisplatin,3,0,"[3, 4, 5]",[],0.0,0.0,-0.0588235294117647,-0.1034482758620689,-0.005813953488372,0,0.0,-0.2425356250363329,-0.5570860145311556,-0.0762492851663023
98,piritrexim,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
99,fotemustine,3,0,"[1, 2, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
100,(2s)-2-hydroxyoctanoic acid,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
101,"6-methyl-2(propane-1-sulfonyl)-2h-thieno[3,2-d][1,2,3]diazaborinin-1-ol",3,0,"[1, 2, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
102,benzoylformic acid,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
103,3-(indol-3-yl) lactate,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
104,dihomo-gamma-linolenic acid,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
105,3-phospho-d-glyceric acid,3,1,"[2, 3, 5]",[4],,,,,,0,0.0,0.0,0.0,0.0
106,nadh,3,0,"[2, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
107,s-hexylglutathione,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
108,"3-decyl-2,5-dioxo-4-hydroxy-3-pyrroline",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
109,dichloroacetic acid,3,2,"[1, 3, 5]","[2, 4]",,,,,,0,0.0,0.0,0.0,0.0
110,ferrous fumarate,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
111,ferric pyrophosphate,3,1,"[2, 3, 5]",[4],,,,,,0,0.0,0.0,0.0,0.0
112,carboplatin,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
113,vayarin,3,0,"[2, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
114,ferrous succinate,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
115,cysteine,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
116,ferrous gluconate,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
117,"4-carboxy-5-(1-pentyl)hexylsulfanyl-1,2,3-triazole",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
118,tris(hydroxyethyl)aminomethane,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
119,n-sulfo-flavin mononucleotide,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
120,glutathione sulfonic acid,3,1,"[3, 4, 5]",[1],,,,,,0,0.0,0.0,0.0,0.0
121,"5-(dodecylthio)-1h-1,2,3-triazole-4-carboxylic acid",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
122,ferrous ascorbate,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
123,ferrous glycine sulfate,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
124,iron,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
125,xanthinol,3,1,"[2, 3, 5]",[4],0.0,1.0,-0.0588235294117647,-0.0344827586206896,-0.1453488372093023,0,1.4142135623730951,-0.2425356250363329,-0.1856953381770518,-1.9062321291575584
126,carmustine,3,0,"[3, 4, 5]",[],0.0,1.0,-0.5294117647058824,-0.5172413793103449,-0.2383720930232558,0,1.4142135623730951,-2.182820625326997,-2.785430072655778,-3.126220691818396
127,calcium carbimide,3,0,"[2, 3, 4]",[],,,,,,0,0.0,0.0,0.0,0.0
128,"10-propargyl-5,8-dideazafolic acid",3,1,"[1, 2, 3]",[4],,,,,,0,0.0,0.0,0.0,0.0
129,"2,4-diamino-6-[n-(3',4',5'-trimethoxybenzyl)-n-methylamino]pyrido[2,3-d]pyrimidine",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
130,"2,4-diamino-6-[n-(3',5'-dimethoxybenzyl)-n-methylamino]pyrido[2,3-d]pyrimidine",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
131,"5-[3-(2,5-dimethoxyphenyl)prop-1-yn-1-yl]-6-ethylpyrimidine-2,4-diamine",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
132,"2-(2-phenyl-3-pyridin-2-yl-4,5,6,7-tetrahydro-2h-isophosphindol-1-yl)pyridine",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
133,arimoclomol,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
134,3-nitro-l-tyrosine,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
135,3-(prop-2-ene-1-sulfinyl)-propene-1-thiol,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
136,"(4as)-5-[(2,4-diaminopteridin-6-yl)methyl]-4a,5-dihydro-2h-dibenzo[b,f]azepin-8-ol",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
137,"3,6-dihydroxy-xanthene-9-propionic acid",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
138,"6-(3-methyl-1,4-dioxo-1,4-dihydronaphthalen-2-yl)hexanoic acid",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
139,"(2r,6s)-6-{[methyl(3,4,5-trimethoxyphenyl)amino]methyl}-1,2,5,6,7,8-hexahydroquinazoline-2,4-diamine",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
140,sri-9439,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
141,sri-9662,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
142,"[n-(2,4-diaminopteridin-6-yl)-methyl]-dibenz[b,f]azepine",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
143,trimetrexate,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
144,cx-717,3,0,"[2, 3, 4]",[],,,,,,0,0.0,0.0,0.0,0.0
145,glutathionylspermidine disulfide,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
146,pyridoxamine-5'-phosphate,3,0,"[2, 3, 4]",[],,,,,,0,0.0,0.0,0.0,0.0
147,gentamicin,3,0,"[3, 4, 5]",[],0.0,0.0,0.2941176470588235,0.2413793103448276,-0.0232558139534883,0,0.0,1.212678125181665,1.299867367239363,-0.3049971406652093
148,px-12,3,0,"[1, 2, 5]",[],0.0,0.0,-0.2941176470588235,-0.3103448275862069,-0.0116279069767441,0,0.0,-1.212678125181665,-1.6712580435934667,-0.1524985703326046
149,sodium tetradecyl sulfate,3,0,"[2, 3, 4]",[],,,,,,0,0.0,0.0,0.0,0.0
150,melphalan flufenamide,3,0,"[2, 3, 4]",[],,,,,,0,0.0,0.0,0.0,0.0
151,ubiquinone q1,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
152,triclocarban,3,0,"[2, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
153,"(9r,10r)-9-(s-glutathionyl)-10-hydroxy-9,10-dihydrophenanthrene",3,0,"[1, 3, 4]",[],,,,,,0,0.0,0.0,0.0,0.0
154,monobenzone,3,0,"[2, 3, 4]",[],0.0,1.0,0.5294117647058824,0.2413793103448276,0.0872093023255814,0,1.4142135623730951,2.182820625326997,1.299867367239363,1.143739277494535
155,"6-(octahydro-1h-indol-1-ylmethyl)decahydroquinazoline-2,4-diamine",3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
156,ljp 1082,3,1,"[1, 2, 3]",[4],,,,,,0,0.0,0.0,0.0,0.0
157,acemetacin,3,0,"[3, 4, 5]",[],0.0,1.0,0.1764705882352941,0.0344827586206896,0.063953488372093,0,1.4142135623730951,0.727606875108999,0.1856953381770518,0.8387421368293257
158,triethyl phosphate,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
159,chenodeoxycholic acid,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
160,1-(9-ethyl-9h-carbazol-3-yl)-n-methylmethanamine,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
161,n-(2-aminoethyl)-2-{3-chloro-4-[(4-isopropylbenzyl)oxy]phenyl} acetamide,3,1,"[1, 2, 3]",[4],,,,,,0,0.0,0.0,0.0,0.0
162,minocycline,3,1,"[1, 3, 4]",[2],0.0,0.0,0.2941176470588235,0.2413793103448276,-0.1569767441860465,0,0.0,1.212678125181665,1.299867367239363,-2.058730699490163
163,"(2r)-n-{4-[ethyl(phenyl)sulfamoyl]-2-methylphenyl}-3,3,3-trifluoro-2-hydroxy-2-methylpropanamide",3,1,"[1, 2, 3]",[4],,,,,,0,0.0,0.0,0.0,0.0
164,azd 3355,3,0,"[3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
165,fg-2216,3,0,"[1, 2, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
166,amrinone,3,1,"[1, 2, 3]",[4],0.0,0.0,0.0588235294117647,0.0344827586206896,-0.1220930232558139,0,0.0,0.2425356250363329,0.1856953381770518,-1.601234988492349
167,omalizumab,3,0,"[1, 2, 4]",[],,,,,,0,0.0,0.0,0.0,0.0
168,cacodylic acid,2,1,"[2, 4]",[1],,,,,,0,0.0,0.0,0.0,0.0
169,2-phospho-d-glyceric acid,2,0,"[1, 2]",[],,,,,,0,0.0,0.0,0.0,0.0
170,sn-glycerol 3-phosphate,2,0,"[1, 2]",[],,,,,,0,0.0,0.0,0.0,0.0
171,adenosine-5-diphosphoribose,2,0,"[4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
172,6-hydroxyuridine-5'-phosphate,2,0,"[1, 2]",[],,,,,,0,0.0,0.0,0.0,0.0
173,thymidine monophosphate,2,0,"[1, 2]",[],,,,,,0,0.0,0.0,0.0,0.0
174,virginiamycin s1,2,0,"[1, 2]",[],,,,,,0,0.0,0.0,0.0,0.0
175,"1-ethyl-pyrrolidine-2,5-dione",2,2,"[1, 2]","[3, 4]",,,,,,0,0.0,0.0,0.0,0.0
176,antrafenine,2,0,"[4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
177,"1,2-dichlorobenzene",2,0,"[3, 4]",[],,,,,,0,0.0,0.0,0.0,0.0
178,flavone,2,0,"[4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
179,lefradafiban,2,0,"[1, 2]",[],,,,,,0,0.0,0.0,0.0,0.0
180,(s)-famoxadone,2,0,"[4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
181,5'-o-(n-ethyl-sulfamoyl)adenosine,2,0,"[1, 2]",[],,,,,,0,0.0,0.0,0.0,0.0
182,2'-o-acetyl adenosine-5-diphosphoribose,2,0,"[4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
183,zaltoprofen,2,0,"[4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
184,5-nitroindazole,2,0,"[4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
185,l-n(omega)-nitroarginine-(4r)-amino-l-proline amide,2,0,"[1, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
186,tafluprost,2,0,"[4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
187,npi 32101,2,0,"[1, 2]",[],,,,,,0,0.0,0.0,0.0,0.0
188,2-phosphoglycolic acid,2,0,"[1, 2]",[],,,,,,0,0.0,0.0,0.0,0.0
189,"n-{(3s,4s)-4-[(6-amino-4-methylpyridin-2-yl)methyl]pyrrolidin-3-yl}-n'-(4-chlorobenzyl)ethane-1,2-diamine",2,0,"[1, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
190,5-[4-(dimethylamino)phenyl]-6-[(6-morpholin-4-ylpyridin-3-yl)ethynyl]pyrimidin-4-amine,2,0,"[3, 4]",[],,,,,,0,0.0,0.0,0.0,0.0
191,"4-[(3-chloro-4-{[(2r)-3,3,3-trifluoro-2-hydroxy-2-methylpropanoyl]amino}phenyl)sulfonyl]-n,n-dimethylbenzamide",2,0,"[1, 2]",[],,,,,,0,0.0,0.0,0.0,0.0
192,tartronate,2,0,"[4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
193,dihydrolipoic acid,2,0,"[4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
