,drug_name,Epigenetic alterations count,Epigenetic alterations count marg,Epigenetic alterations,Epigenetic alterations marg,Cmap pAGE Epigenetic alterations level1,Cmap pAGE Epigenetic alterations level2,Cmap pAGE Epigenetic alterations level3,Cmap pAGE Epigenetic alterations level4,Cmap pAGE Epigenetic alterations level5,Cmap pAGE Epigenetic alterations level1 z_score,Cmap pAGE Epigenetic alterations level2 z_score,Cmap pAGE Epigenetic alterations level3 z_score,Cmap pAGE Epigenetic alterations level4 z_score,Cmap pAGE Epigenetic alterations level5 z_score
14,"(8e,10s,12z)-10-hydroxy-6-oxooctadeca-8,12-dienoic acid",5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
15,tesaglitazar,5,0,"[1, 2, 3, 4, 5]",[],0.0,-0.1428571428571428,-0.0588235294117647,0.0555555555555555,-0.0835913312693498,0.0,-0.3779644730092272,-0.2425356250363329,0.3333333333333333,-1.5023201870015743
16,ragaglitazar,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
17,naveglitazar,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
18,"2-[(2,4-dichlorobenzoyl)amino]-5-(pyrimidin-2-yloxy)benzoic acid",5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
19,ranibizumab,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
20,veglin,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
21,"(5r,6e,8z,11z,14z,17z)-5-hydroxyicosa-6,8,11,14,17-pentaenoic acid",5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
22,fenoprofen,5,0,"[1, 2, 3, 4, 5]",[],1.0,0.4285714285714285,0.1764705882352941,0.2777777777777778,-0.0526315789473684,1.4142135623730951,1.1338934190276817,0.727606875108999,1.6666666666666667,-0.9459053029269172
23,alpha-linolenic acid,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
24,darglitazone,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
25,aleglitazar,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
26,clinofibrate,5,0,"[1, 2, 3, 4, 5]",[],1.0,0.4285714285714285,0.0588235294117647,0.0,0.0340557275541795,1.4142135623730951,1.1338934190276817,0.2425356250363329,0.0,0.6120563724821229
27,amg-131,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
28,d-myo-inositol-hexasulphate,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
29,pilaralisib,5,0,"[1, 2, 3, 4, 5]",[],-1.0,-0.1428571428571428,-0.1764705882352941,-0.2777777777777778,-0.0340557275541795,-1.4142135623730951,-0.3779644730092272,-0.727606875108999,-1.6666666666666667,-0.6120563724821229
30,arsenic trioxide,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
31,pegaptanib,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
32,2-chloro-5-nitro-n-phenylbenzamide,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
33,elafibranor,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
34,indeglitazar,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
35,"(8r,9z,12z)-8-hydroxy-6-oxooctadeca-9,12-dienoic acid",5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
36,(2s)-2-ethoxy-3-{4-[2-(10h-phenoxazin-10-yl)ethoxy]phenyl}propanoic acid,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
37,(s)-3-(4-(2-carbazol-9-yl-ethoxy)-phenyl)-2-ethoxy-propionic acid,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
38,(2s)-2-(biphenyl-4-yloxy)-3-phenylpropanoic acid,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
39,cambinol,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
40,2-{5-[3-(6-benzoyl-1-propylnaphthalen-2-yloxy)propoxy]indol-1-yl}ethanoic acid,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
41,"(4s,5e,7z,10z,13z,16z,19z)-4-hydroxydocosa-5,7,10,13,16,19-hexaenoic acid",5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
42,difluoro(5-{2-[(5-octyl-1h-pyrrol-2-yl-kappan)methylidene]-2h-pyrrol-5-yl-kappan}pentanoato)boron,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
43,astaxanthin,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
44,"(2s)-3-(1-{[2-(2-chlorophenyl)-5-methyl-1,3-oxazol-4-yl]methyl}-1h-indol-5-yl)-2-ethoxypropanoic acid",5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
45,9(s)-hode,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
46,3-fluoro-n-[1-(4-fluorophenyl)-3-(2-thienyl)-1h-pyrazol-5-yl]benzenesulfonamide,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
47,aflibercept,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
48,2-{5-[3-(7-propyl-3-trifluoromethylbenzo[d]isoxazol-6-yloxy)propoxy]indol-1-yl}ethanoic acid,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
49,3-(5-methoxy-1h-indol-3-yl)propanoic acid,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
50,(2s)-2-(4-chlorophenoxy)-3-phenylpropanoic acid,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
51,ertiprotafib,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
52,vandetanib,4,0,"[1, 2, 3, 4]",[],0.0,-0.7142857142857143,-0.4117647058823529,-0.2777777777777778,-0.1145510835913312,0.0,-1.8898223650461363,-1.697749375254331,-1.6666666666666667,-2.058735071076232
53,polaprezinc,4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
54,resiniferatoxin,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
55,triclosan,4,0,"[1, 2, 3, 5]",[],0.0,-0.4285714285714285,-0.4117647058823529,-0.1666666666666666,0.0154798761609907,0.0,-1.1338934190276817,-1.697749375254331,-1.0,0.2782074420373286
56,foreskin keratinocyte (neonatal),4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
57,foreskin fibroblast (neonatal),4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
58,minocycline,4,0,"[1, 2, 3, 5]",[],0.0,-0.5714285714285714,-0.2352941176470588,-0.0833333333333333,0.0,0.0,-1.511857892036909,-0.970142500145332,-0.5,0.0
59,siltuximab,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
60,mln0415,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
61,3-(benzyloxy)pyridin-2-amine,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
62,nonivamide,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
63,"n,n-bis(3-(d-gluconamido)propyl)deoxycholamide",4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
64,mitiglinide,4,0,"[1, 2, 3, 4]",[],0.0,0.1428571428571428,0.2941176470588235,0.2222222222222222,0.0650154798761609,0.0,0.3779644730092272,1.212678125181665,1.3333333333333333,1.16847125655678
65,abt-510,4,0,"[1, 2, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
66,phthalic acid,4,1,"[1, 2, 4, 5]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
67,archexin,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
68,capsicum oleoresin,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
69,sns-032,4,1,"[1, 3, 4, 5]",[2],,,,,,0.0,0.0,0.0,0.0,0.0
70,vx-702,4,0,"[2, 3, 4, 5]",[],1.0,0.0,0.1176470588235294,0.0833333333333333,-0.1114551083591331,1.4142135623730951,0.0,0.4850712500726659,0.5,-2.003093582668766
71,omega-3 fatty acids,4,0,"[1, 2, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
72,fg-2216,4,0,"[1, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
73,denibulin,4,0,"[1, 2, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
74,fenofibric acid,4,1,"[1, 2, 4, 5]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
75,aspirin,4,1,"[2, 3, 4, 5]",[1],0.0,0.7142857142857143,0.4117647058823529,0.3333333333333333,-0.0154798761609907,0.0,1.8898223650461363,1.697749375254331,2.0,-0.2782074420373286
76,4-hydroxy-n'-(4-isopropylbenzyl)benzohydrazide,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
77,icosapent,4,0,"[2, 3, 4, 5]",[],0.0,0.4285714285714285,0.4117647058823529,0.0555555555555555,-0.0464396284829721,0.0,1.1338934190276817,1.697749375254331,0.3333333333333333,-0.8346223261119858
78,bezafibrate,4,0,"[1, 2, 4, 5]",[],0.0,-0.2857142857142857,0.1176470588235294,-0.1388888888888889,0.0433436532507739,0.0,-0.7559289460184545,0.4850712500726659,-0.8333333333333334,0.7789808377045201
79,selisistat,4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
80,ponatinib,3,0,"[1, 2, 3]",[],0.0,-0.4285714285714285,-0.1764705882352941,-0.1666666666666666,-0.0712074303405572,0.0,-1.1338934190276817,-0.727606875108999,-1.0,-1.2797542333717116
81,suprofen,3,0,"[2, 3, 4]",[],1.0,0.7142857142857143,0.2941176470588235,0.1111111111111111,0.0092879256965944,1.4142135623730951,1.8898223650461363,1.212678125181665,0.6666666666666666,0.1669244652223971
82,pyroxamide,3,0,"[3, 4, 5]",[],0.0,-0.4285714285714285,-0.0588235294117647,-0.2222222222222222,0.0464396284829721,0.0,-1.1338934190276817,-0.2425356250363329,-1.3333333333333333,0.8346223261119858
83,"n-dodecyl-n,n-dimethyl-3-ammonio-1-propanesulfonate",3,1,"[2, 4, 5]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
84,gw-590735,3,0,"[1, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
85,adapalene,3,1,"[1, 2, 5]",[3],-1.0,-0.4285714285714285,-0.2941176470588235,-0.3333333333333333,-0.1207430340557275,-1.4142135623730951,-1.1338934190276817,-1.212678125181665,-2.0,-2.1700180478911633
86,"(2e,4e)-11-methoxy-3,7,11-trimethyldodeca-2,4-dienoic acid",3,0,"[1, 2, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
87,4-(3-amino-1h-indazol-5-yl)-n-tert-butylbenzenesulfonamide,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
88,vorinostat,3,0,"[3, 4, 5]",[],0.0,-0.1428571428571428,-0.1764705882352941,-0.1666666666666666,0.0154798761609907,0.0,-0.3779644730092272,-0.727606875108999,-1.0,0.2782074420373286
89,olopatadine,3,0,"[2, 3, 4]",[],0.0,-0.4285714285714285,0.0588235294117647,0.0,-0.0340557275541795,0.0,-1.1338934190276817,0.2425356250363329,0.0,-0.6120563724821229
90,pseudoephedrine,3,0,"[3, 4, 5]",[],0.0,-0.1428571428571428,0.0588235294117647,0.0555555555555555,0.0526315789473684,0.0,-0.3779644730092272,0.2425356250363329,0.3333333333333333,0.9459053029269172
91,mocetinostat,3,0,"[3, 4, 5]",[],-1.0,-0.5714285714285714,-0.2352941176470588,-0.25,-0.0371517027863777,-1.4142135623730951,-1.511857892036909,-0.970142500145332,-1.5,-0.6676978608895886
92,hyaluronidase (human recombinant),3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
93,hyaluronidase,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
94,ginseng,3,0,"[2, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
95,"methyl 4-(2,3-dihydroxy-5-methylphenoxy)-2-hydroxy-6-methylbenzoate",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
96,vadadustat,3,1,"[1, 3, 5]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
97,givinostat,3,0,"[3, 4, 5]",[],0.0,-0.1428571428571428,0.0588235294117647,-0.0555555555555555,0.0278637770897832,0.0,-0.3779644730092272,0.2425356250363329,-0.3333333333333333,0.5007733956671915
98,"3,20-pregnanedione",3,1,"[1, 2, 3]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
99,3-fluoro-l-tyrosine,3,1,"[3, 4, 5]",[1],,,,,,0.0,0.0,0.0,0.0,0.0
100,pracinostat,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
101,bexarotene,3,0,"[1, 2, 5]",[],0.0,0.4285714285714285,0.1764705882352941,0.1666666666666666,0.0773993808049535,0.0,1.1338934190276817,0.727606875108999,1.0,1.391037210186643
102,decitabine,3,1,"[3, 4, 5]",[2],0.0,0.1428571428571428,-0.1764705882352941,-0.3888888888888889,-0.1331269349845201,0.0,0.3779644730092272,-0.727606875108999,-2.3333333333333335,-2.3925840015210262
103,zimelidine,3,0,"[2, 3, 4]",[],0.0,0.2857142857142857,0.1176470588235294,0.1388888888888889,0.0247678018575851,0.0,0.7559289460184545,0.4850712500726659,0.8333333333333334,0.4451319072597258
104,zinc trihydroxide,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
105,olokizumab,3,0,"[2, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
106,flufenamic acid,3,2,"[1, 2, 5]","[3, 4]",,,,,,0.0,0.0,0.0,0.0,0.0
107,etretinate,3,0,"[1, 2, 5]",[],1.0,0.2857142857142857,0.5882352941176471,0.1944444444444444,0.0247678018575851,1.4142135623730951,0.7559289460184545,2.42535625036333,1.1666666666666667,0.4451319072597258
108,"1-(1'-{[3-(methylsulfanyl)-2-benzothiophen-1-yl]carbonyl}spiro[1-benzofuran-3,4'-piperidin]-5-yl)methanamine",3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
109,5-phenyl-1h-indazol-3-amine,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
110,oleic acid,3,0,"[1, 2, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
111,dasatinib,3,0,"[1, 2, 4]",[],1.0,-0.1428571428571428,-0.0588235294117647,-0.0555555555555555,-0.0464396284829721,1.4142135623730951,-0.3779644730092272,-0.2425356250363329,-0.3333333333333333,-0.8346223261119858
112,s-p-nitrobenzyloxycarbonylglutathione,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
113,onapristone,3,1,"[2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
114,s-(n-hydroxy-n-iodophenylcarbamoyl)glutathione,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
115,andrographolide,3,0,"[2, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
116,4-[(2-{4-[(cyclopropylcarbamoyl)amino]-1h-pyrazol-3-yl}-1h-benzimidazol-6-yl)methyl]morpholin-4-ium,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
117,aspartame,3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
118,"(9s,10s)-9-(s-glutathionyl)-10-hydroxy-9,10-dihydrophenanthrene",3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
119,sd118,3,1,"[1, 4, 5]",[2],,,,,,0.0,0.0,0.0,0.0,0.0
120,ciglitazone,3,1,"[1, 2, 3]",[5],-1.0,-0.1428571428571428,-0.1764705882352941,-0.1111111111111111,0.0092879256965944,-1.4142135623730951,-0.3779644730092272,-0.727606875108999,-0.6666666666666666,0.1669244652223971
121,acitretin,3,1,"[1, 2, 5]",[3],-1.0,0.1428571428571428,-0.0588235294117647,-0.2222222222222222,-0.0835913312693498,-1.4142135623730951,0.3779644730092272,-0.2425356250363329,-1.3333333333333333,-1.5023201870015743
122,hyaluronidase (ovine),3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
123,entrectinib,3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
124,phenylbutyric acid,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
125,calcifediol,3,0,"[2, 3, 4]",[],-1.0,-0.2857142857142857,0.0,-0.1944444444444444,0.0433436532507739,-1.4142135623730951,-0.7559289460184545,0.0,-1.1666666666666667,0.7789808377045201
126,oms-103hp,3,1,"[1, 4, 5]",[2],,,,,,0.0,0.0,0.0,0.0,0.0
127,butenoic acid,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
128,xl019,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
129,adenosine 5'-[gamma-thio]triphosphate,3,0,"[1, 2, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
130,thimerosal,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
131,tixocortol,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
132,acemetacin,3,0,"[2, 3, 4]",[],1.0,0.4285714285714285,0.2941176470588235,-0.0555555555555555,0.0526315789473684,1.4142135623730951,1.1338934190276817,1.212678125181665,-0.3333333333333333,0.9459053029269172
133,estramustine,3,1,"[2, 3, 4]",[5],0.0,-0.1428571428571428,-0.2941176470588235,-0.4444444444444444,-0.1269349845201238,0.0,-0.3779644730092272,-1.212678125181665,-2.6666666666666665,-2.2813010247060945
134,bimoclomol,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
135,acetaminophen,3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
136,tivozanib,3,1,"[1, 2, 3]",[4],0.0,-0.4285714285714285,-0.2941176470588235,-0.2777777777777778,-0.0959752321981424,0.0,-1.1338934190276817,-1.212678125181665,-1.6666666666666667,-1.7248861406314373
137,ponesimod,3,1,"[2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
138,auranofin,3,1,"[2, 3, 4]",[5],0.0,-0.2857142857142857,0.0,-0.1388888888888889,0.0123839009287925,0.0,-0.7559289460184545,0.0,-0.8333333333333334,0.2225659536298629
139,he3286,3,0,"[2, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
140,dilmapimod,3,0,"[2, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
141,abexinostat,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
142,crx-139,3,0,"[2, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
143,beta carotene,3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
144,entinostat,3,0,"[3, 4, 5]",[],-1.0,-0.4285714285714285,-0.2941176470588235,-0.3333333333333333,-0.0464396284829721,-1.4142135623730951,-1.1338934190276817,-1.212678125181665,-2.0,-0.8346223261119858
145,hydralazine,3,0,"[2, 3, 4]",[],-1.0,-0.1428571428571428,-0.1764705882352941,0.0,-0.0030959752321981,-1.4142135623730951,-0.3779644730092272,-0.727606875108999,0.0,-0.0556414884074657
146,"1-[1'-(3-phenylacryloyl)spiro[1-benzofuran-3,4'-piperidin]-5-yl]methanamine",3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
147,lgd-1550,3,0,"[1, 2, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
148,"n-[2-(5-methyl-4h-1,2,4-triazol-3-yl)phenyl]-7h-pyrrolo[2,3-d]pyrimidin-4-amine",3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
149,"5-(5-chloro-7h-pyrrolo[2,3-d]pyrimidin-4-yl)-4,5,6,7-tetrahydro-1h-imidazo[4,5-c]pyridine",3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
150,bryostatin 1,3,0,"[2, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
151,xl765,3,1,"[1, 2, 4]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
152,"inositol 1,3,4,5-tetrakisphosphate",3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
153,panobinostat,3,0,"[3, 4, 5]",[],0.0,-0.2857142857142857,0.0,0.0277777777777777,0.0495356037151702,0.0,-0.7559289460184545,0.0,0.1666666666666666,0.8902638145194516
154,perifosine,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
155,5beta-dihydrotestosterone,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
156,"(8alpha,10alpha,13alpha,17beta)-17-[(4-hydroxyphenyl)carbonyl]androsta-3,5-diene-3-carboxylic acid",2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
157,bemiparin,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
158,protriptyline,2,0,"[3, 4]",[],0.0,-0.4285714285714285,-0.4117647058823529,-0.4444444444444444,-0.0712074303405572,0.0,-1.1338934190276817,-1.697749375254331,-2.6666666666666665,-1.2797542333717116
159,difluprednate,2,0,"[2, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
160,tetrahydropalmatine,2,0,"[2, 5]",[],1.0,0.0,0.3529411764705882,0.25,0.0,1.4142135623730951,0.0,1.455213750217998,1.5,0.0
161,nitroaspirin,2,0,"[2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
162,o-acetyl-l-serine,2,0,"[2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
163,megestrol acetate,2,1,"[2, 4]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
164,digoxin,2,0,"[2, 3]",[],-1.0,-0.4285714285714285,-0.1764705882352941,-0.2222222222222222,-0.0650154798761609,-1.4142135623730951,-1.1338934190276817,-0.727606875108999,-1.3333333333333333,-1.16847125655678
165,fidaxomicin,2,0,"[2, 3]",[],-1.0,-0.4285714285714285,-0.2941176470588235,-0.2777777777777778,0.0526315789473684,-1.4142135623730951,-1.1338934190276817,-1.212678125181665,-1.6666666666666667,0.9459053029269172
166,piperine,2,0,"[2, 3]",[],0.0,0.2857142857142857,0.1176470588235294,-0.0277777777777777,0.0185758513931888,0.0,0.7559289460184545,0.4850712500726659,-0.1666666666666666,0.3338489304447943
167,phenyl salicylate,2,0,"[2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
168,sns-314,2,0,"[1, 2]",[],-1.0,-0.8571428571428571,-0.3529411764705882,-0.3611111111111111,-0.0371517027863777,-1.4142135623730951,-2.2677868380553634,-1.455213750217998,-2.166666666666667,-0.6676978608895886
169,cyt007-tnfqb,2,0,"[4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
170,selenious acid,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
171,d-proline,2,0,"[2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
172,clobetasone,2,0,"[2, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
173,gallopamil,2,0,"[2, 3]",[],-1.0,-0.4285714285714285,-0.0588235294117647,0.2777777777777778,0.0897832817337461,-1.4142135623730951,-1.1338934190276817,-0.2425356250363329,1.6666666666666667,1.6136031638165058
174,linifanib,2,0,"[1, 2]",[],-1.0,-0.4285714285714285,0.1764705882352941,-0.2222222222222222,-0.0712074303405572,-1.4142135623730951,-1.1338934190276817,0.727606875108999,-1.3333333333333333,-1.2797542333717116
175,custirsen,2,0,"[4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
