,drug_name,Exhaustion of stem cells count,Exhaustion of stem cells count marg,Exhaustion of stem cells,Exhaustion of stem cells marg,Cmap pAGE Exhaustion of stem cells level1,Cmap pAGE Exhaustion of stem cells level2,Cmap pAGE Exhaustion of stem cells level3,Cmap pAGE Exhaustion of stem cells level4,Cmap pAGE Exhaustion of stem cells level5,Cmap pAGE Exhaustion of stem cells level1 z_score,Cmap pAGE Exhaustion of stem cells level2 z_score,Cmap pAGE Exhaustion of stem cells level3 z_score,Cmap pAGE Exhaustion of stem cells level4 z_score,Cmap pAGE Exhaustion of stem cells level5 z_score
49,doramapimod,3,0,"[3, 4, 5]",[],,,-0.3333333333333333,-0.6666666666666666,-0.3333333333333333,0,0,-0.5773502691896256,-1.6329931618554518,-1.5275252316519463
50,3'-phospho-5'-adenylyl sulfate,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
51,3-(1-naphthylmethoxy)pyridin-2-amine,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
52,3-fluoro-5-morpholin-4-yl-n-[3-(2-pyridin-4-ylethyl)-1h-indol-5-yl]benzamide,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
53,"n-[(3z)-5-tert-butyl-2-phenyl-1,2-dihydro-3h-pyrazol-3-ylidene]-n'-(4-chlorophenyl)urea",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
54,"n-(cyclopropylmethyl)-2'-methyl-5'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-4-carboxamide",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
55,2-fluoro-4-[4-(4-fluorophenyl)-1h-pyrazol-3-yl]pyridine,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
56,4-phenoxy-n-(pyridin-2-ylmethyl)benzamide,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
57,n-(3-tert-butyl-1h-pyrazol-5-yl)-n'-{4-chloro-3-[(pyridin-3-yloxy)methyl]phenyl}urea,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
58,"n,4-dimethyl-3-[(1-phenyl-1h-pyrazolo[3,4-d]pyrimidin-4-yl)amino]benzamide",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
59,4-[3-(4-fluorophenyl)-1h-pyrazol-4-yl]pyridine,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
60,"4-[3-methylsulfanylanilino]-6,7-dimethoxyquinazoline",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
61,amineptine,3,0,"[3, 4, 5]",[],,,1.0,0.0,0.1428571428571428,0,0,1.732050807568877,0.0,0.6546536707079771
62,4-[5-(3-iodo-phenyl)-2-(4-methanesulfinyl-phenyl)-1h-imidazol-4-yl]-pyridine,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
63,4-[5-[2-(1-phenyl-ethylamino)-pyrimidin-4-yl]-1-methyl-4-(3-trifluoromethylphenyl)-1h-imidazol-2-yl]-piperidine,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
64,inhibitor of p38 kinase,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
65,1-[1-(3-aminophenyl)-3-tert-butyl-1h-pyrazol-5-yl]-3-naphthalen-1-ylurea,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
66,"4-{4-[(5-hydroxy-2-methylphenyl)amino]quinolin-7-yl}-1,3-thiazole-2-carbaldehyde",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
67,4-[4-(4-fluorophenyl)-2-[4-[(r)-methylsulfinyl]phenyl]-1h-imidazol-5-yl]pyridine,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
68,"n-(3-cyanophenyl)-2'-methyl-5'-(5-methyl-1,3,4-oxadiazol-2-yl)-4-biphenylcarboxamide",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
69,4-(fluorophenyl)-1-cyclopropylmethyl-5-(2-amino-4-pyrimidinyl)imidazole,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
70,ph-797804,3,0,"[3, 4, 5]",[],,,-0.3333333333333333,0.0,0.1428571428571428,0,0,-0.5773502691896256,0.0,0.6546536707079771
71,fluocinolone acetonide,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
72,omapatrilat,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
73,6((s)-3-benzylpiperazin-1-yl)-3-(naphthalen-2-yl)-4-(pyridin-4-yl)pyrazine,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
74,2-chlorophenol,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
75,sd-0006,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
76,3-fluoro-n-1h-indol-5-yl-5-morpholin-4-ylbenzamide,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
77,4-(4-fluorophenyl)-1-cycloropropylmethyl-5-(4-pyridyl)-imidazole,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
78,"n-ethyl-4-{[5-(methoxycarbamoyl)-2-methylphenyl]amino}-5-methylpyrrolo[2,1-f][1,2,4]triazine-6-carboxamide",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
79,r-1487,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
80,"2-(2,6-difluorophenoxy)-n-(2-fluorophenyl)-9-isopropyl-9h-purin-8-amine",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
81,12-hydroxydodecanoic acid,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
82,n-cyclopropyl-4-methyl-3-{2-[(2-morpholin-4-ylethyl)amino]quinazolin-6-yl}benzamide,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
83,n-cyclopropyl-4-methyl-3-[1-(2-methylphenyl)phthalazin-6-yl]benzamide,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
84,"n-cyclopropyl-3-{[1-(2,4-difluorophenyl)-7-methyl-6-oxo-6,7-dihydro-1h-pyrazolo[3,4-b]pyridin-4-yl]amino}-4-methylbenzamide",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
85,"n-cyclopropyl-2',6-dimethyl-4'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-3-carboxamide",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
86,n-[4-chloro-3-(pyridin-3-yloxymethyl)-phenyl]-3-fluoro-,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
87,4-(2-hydroxybenzylamino)-n-(3-(4-fluorophenoxy)phenyl)piperidine-1-sulfonamide,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
88,"n-[2-methyl-5-(methylcarbamoyl)phenyl]-2-{[(1r)-1-methylpropyl]amino}-1,3-thiazole-5-carboxamide",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
89,3-fluoro-5-morpholin-4-yl-n-[1-(2-pyridin-4-ylethyl)-1h-indol-6-yl]benzamide,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
90,zofenopril,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
91,"8-(2-chlorophenylamino)-2-(2,6-difluorophenylamino)-9-ethyl-9h-purine-1,7-diium",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
92,"6-[4-(2-fluorophenyl)-1,3-oxazol-5-yl]-n-(1-methylethyl)-1,3-benzothiazol-2-amine",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
93,neflamapimod,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
94,"n~3~-cyclopropyl-n~4~'-(cyclopropylmethyl)-6-methylbiphenyl-3,4'-dicarboxamide",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
95,2-(ethoxymethyl)-4-(4-fluorophenyl)-3-[2-(2-hydroxyphenoxy)pyrimidin-4-yl]isoxazol-5(2h)-one,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
96,"3-(4-fluorophenyl)-1-hydroxy-2-(pyridin-4-yl)-1h-pyrrolo[3,2-b]pyridine",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
97,"3-(2-chlorophenyl)-1-(2-{[(1s)-2-hydroxy-1,2-dimethylpropyl]amino}pyrimidin-4-yl)-1-(4-methoxyphenyl)urea",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
98,1-hydroxy-2-s-glutathionyl-3-para-nitrophenoxy-propane,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
99,candoxatril,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
100,"1,4-dioxane",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
101,selgantolimod,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
102,navitoclax,3,0,"[3, 4, 5]",[],,,-0.3333333333333333,0.3333333333333333,0.1428571428571428,0,0,-0.5773502691896256,0.8164965809277259,0.6546536707079771
103,triethyl phosphate,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
104,acemetacin,3,0,"[3, 4, 5]",[],,,0.3333333333333333,-0.3333333333333333,-0.238095238095238,0,0,0.5773502691896256,-0.8164965809277259,-1.0910894511799618
105,1-(9-ethyl-9h-carbazol-3-yl)-n-methylmethanamine,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
106,ronacaleret,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
107,azd 3355,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
108,neomycin,3,0,"[3, 4, 5]",[],,,-0.3333333333333333,0.0,0.0476190476190476,0,0,-0.5773502691896256,0.0,0.2182178902359923
109,amlexanox,3,0,"[3, 4, 5]",[],,,0.3333333333333333,0.3333333333333333,0.0476190476190476,0,0,0.5773502691896256,0.8164965809277259,0.2182178902359923
110,etelcalcetide,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
111,n-acetyl-alpha-d-glucosamine,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
112,benzatropine,3,0,"[3, 4, 5]",[],,,-0.3333333333333333,-0.3333333333333333,-0.0476190476190476,0,0,-0.5773502691896256,-0.8164965809277259,-0.2182178902359923
113,"1-(cyclohexylamino)-3-(6-methyl-3,4-dihydro-1h-carbazol-9(2h)-yl)propan-2-ol",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
114,phenmetrazine,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
115,erteberel,2,0,"[4, 5]",[],,,-0.3333333333333333,-0.3333333333333333,-0.1428571428571428,0,0,-0.5773502691896256,-0.8164965809277259,-0.6546536707079771
116,arsanilic acid,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
117,amitifadine,2,0,"[3, 4]",[],,,0.3333333333333333,0.0,0.0476190476190476,0,0,0.5773502691896256,0.0,0.2182178902359923
118,(r)-propylene glycol,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
119,custirsen,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
120,posizolid,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
121,dodecyl sulfate,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
122,n-[(1r)-3-(4-hydroxyphenyl)-1-methylpropyl]-2-(2-phenyl-1h-indol-3-yl)acetamide,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
123,"(4as)-5-[(2,4-diaminopteridin-6-yl)methyl]-4a,5-dihydro-2h-dibenzo[b,f]azepin-8-ol",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
124,s-(2-oxo)pentadecylcoa,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
125,triacetylchitotriose,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
126,np-50301,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
127,"(2r,6s)-6-{[methyl(3,4,5-trimethoxyphenyl)amino]methyl}-1,2,5,6,7,8-hexahydroquinazoline-2,4-diamine",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
128,(s)-aspartimide,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
129,managlinat dialanetil,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
130,mdl-29951,2,0,"[3, 4]",[],,,0.3333333333333333,0.0,0.0476190476190476,0,0,0.5773502691896256,0.0,0.2182178902359923
131,"n-[1-(2,6-dimethoxybenzyl)piperidin-4-yl]-4-sulfanylbutanamide",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
132,"[n-(2,4-diaminopteridin-6-yl)-methyl]-dibenz[b,f]azepine",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
133,polyestradiol phosphate,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
134,n-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}-5-methyl-d-tryptophan,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
135,lindane,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
136,n-{2-methyl-5-[(6-phenylpyrimidin-4-yl)amino]phenyl}methanesulfonamide,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
137,sri-9662,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
138,sri-9439,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
139,3-chloro-2-(4-hydroxyphenyl)-2h-indazol-5-ol,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
140,compound 4-d,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
141,octocrylene,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
142,diethylpropion,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
143,"2-o-(4'-amidinophenyl)-5-o-(3''-amidinophenyl)-1,4:3,6-dianhydro-d-sorbitol",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
144,rauwolfia serpentina root,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
145,nomifensine,2,0,"[3, 4]",[],,,0.3333333333333333,0.0,-0.238095238095238,0,0,0.5773502691896256,0.0,-1.0910894511799618
146,"7-iodo-1,2,3,4-tetrahydro-isoquinoline",2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
147,"(1s,4r,9s)-5-(trifluoromethyl)-1,2,3,4-tetrahydro-1,4-methanonaphthalen-9-amine",2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
148,4-phenylbutylamine,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
149,"7,8-dichloro-1,2,3,4-tetrahydroisoquinoline",2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
150,"2-amino-1-methyl-6-phenylimidazo(4,5-b)pyridine",2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
151,4-fluorobenzylamine,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
152,s-{2-[amino(dihydroxy)-lambda~4~-sulfanyl]ethyl}-d-cysteine,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
153,compound 19,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
154,estetrol,2,1,"[4, 5]",[3],,,,,,0,0,0.0,0.0,0.0
155,ethanolamine,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
156,calcium chloride,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
157,"5,5-dimethyl-2-morpholin-4-yl-5,6-dihydro-1,3-benzothiazol-7(4h)-one",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
158,methylumbelliferyl chitotriose,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
159,s-propylamine-l-cysteine,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
160,"1-methyl-3-naphthalen-2-yl-1h-pyrazolo[3,4-d]pyrimidin-4-amine",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
161,"imino[2-(2-oxo-1,2-dihydro-3-pyridinyl)-1h-benzimidazol-5-yl]methanaminium",2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
162,guanine,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
163,"methyl (1r,2s)-2-(hydroxycarbamoyl)-1-{4-[(2-methylquinolin-4-yl)methoxy]benzyl}cyclopropanecarboxylate",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
164,"10-propargyl-5,8-dideazafolic acid",2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
165,compound 18,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
166,dinor-n(omega)-hydroxy-l-arginine,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
167,topotecan,2,0,"[4, 5]",[],,,1.0,0.0,-0.0476190476190476,0,0,1.732050807568877,0.0,-0.2182178902359923
168,trodusquemine,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
169,lenalidomide,2,1,"[3, 5]",[4],,,1.0,0.6666666666666666,0.4285714285714285,0,0,1.732050807568877,1.6329931618554518,1.9639610121239313
170,"(5e)-5-[(2,2-difluoro-1,3-benzodioxol-5-yl)methylene]-1,3-thiazolidine-2,4-dione",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
171,pyrethrum extract,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
172,cu-cyclam,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
173,quinestrol,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
174,temocapril,2,1,"[3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
175,"2,4-diamino-5-(3,4,5-trimethoxy-benzyl)-pyrimidin-1-ium",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
176,"5-[(3r)-3-(5-methoxybiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
177,estrone sulfate,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
178,fosinopril,2,0,"[3, 4]",[],,,1.0,0.6666666666666666,0.4285714285714285,0,0,1.732050807568877,1.6329931618554518,1.9639610121239313
179,2-amino-6-[2-(1h-indol-6-yl)ethyl]pyrimidin-4(3h)-one,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
180,phenolphthalein,2,0,"[4, 5]",[],,,-0.3333333333333333,-0.6666666666666666,-0.3333333333333333,0,0,-0.5773502691896256,-1.6329931618554518,-1.5275252316519463
181,"n~3~-[3-(1h-indol-6-yl)benzyl]pyridine-2,3-diamine",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
182,4-methyl-umbelliferyl-n-acetyl-chitobiose,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
183,nadolol,2,0,"[4, 5]",[],,,0.3333333333333333,0.0,0.0476190476190476,0,0,0.5773502691896256,0.0,0.2182178902359923
184,mifamurtide,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
185,4-(2-aminoethyl)-2-cyclohexylphenol,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
186,(2s)-4-(4-fluorobenzyl)-n-(2-sulfanylethyl)piperazine-2-carboxamide,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
187,tbc-3711,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
188,spirapril,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
189,"(2s)-1-(2,5-dimethylphenoxy)-3-morpholin-4-ylpropan-2-ol",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
190,trandolapril,2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
191,"(2r,3r,4s)-3-(4-hydroxyphenyl)-4-methyl-2-[4-(2-pyrrolidin-1-ylethoxy)phenyl]chroman-6-ol",2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
192,"5-[(3r)-3-(5-methoxy-3',5'-dimethylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine",2,0,"[3, 4]",[],,,,,,0,0,0.0,0.0,0.0
193,curcumin sulfate,2,0,"[4, 5]",[],,,,,,0,0,0.0,0.0,0.0
