,drug_name,Changes in the extracellular matrix structure count,Changes in the extracellular matrix structure count marg,Changes in the extracellular matrix structure,Changes in the extracellular matrix structure marg,Cmap pAGE Changes in the extracellular matrix structure level1,Cmap pAGE Changes in the extracellular matrix structure level2,Cmap pAGE Changes in the extracellular matrix structure level3,Cmap pAGE Changes in the extracellular matrix structure level4,Cmap pAGE Changes in the extracellular matrix structure level5,Cmap pAGE Changes in the extracellular matrix structure level1 z_score,Cmap pAGE Changes in the extracellular matrix structure level2 z_score,Cmap pAGE Changes in the extracellular matrix structure level3 z_score,Cmap pAGE Changes in the extracellular matrix structure level4 z_score,Cmap pAGE Changes in the extracellular matrix structure level5 z_score
57,magnesium lactate,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
58,hydrocortisone cypionate,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
59,hydrocortisone phosphate,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
60,"hydroxy(oxo)(2-{(1s)-2,2,2-trifluoro-1-[2-(trimethylarsonio)ethoxy]ethyl}phenyl)ammonium",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
61,"5-[4-(2-hydroxyethyl)-1-piperidinyl]-5-phenyl-2,4,6(1h,3h,5h)-pyrimidinetrione",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
62,hydrocortisone aceponate,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
63,huperzine a,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
64,acetohydroxamic acid,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
65,"5-(2-ethoxyethyl)-5-[4-(4-fluorophenoxy)phenoxy]pyrimidine-2,4,6(1h,3h,5h)-trione",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
66,2-(2-{2-[(biphenyl-4-ylmethyl)-amino]-3-mercapto-pentanoylamino}-acetylamino)-3-methyl-butyric acid methyl ester,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
67,"(11s)-8-chloro-11-[1-(methylsulfonyl)piperidin-4-yl]-6-piperazin-1-yl-11h-benzo[5,6]cyclohepta[1,2-b]pyridine",2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
68,potassium acetate,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
69,heparin disaccharide i-s,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
70,"(1r,2r)-n-(2-aminoethyl)-2-{[(4-methoxyphenyl)sulfonyl]methyl}cyclohexanecarboxamide",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
71,"(1s)-1-{[(4'-methoxy-1,1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonic acid",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
72,rivastigmine,2,0,"[4, 5]",[],,,0.0,0.1428571428571428,0.2857142857142857,0,0,0,0.3779644730092272,1.511857892036909
73,copper,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
74,"n-(dibenzo[b,d]thiophen-3-ylsulfonyl)-l-valine",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
75,"n-(2-aminoethyl)-n~2~-{(1s)-1-[4'-(aminosulfonyl)biphenyl-4-yl]-2,2,2-trifluoroethyl}-l-leucinamide",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
76,nap-226-90,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
77,"(3,4,8b-trimethyl-3-oxido-2,3a-dihydro-1h-pyrrolo[2,3-b]indol-3-ium-7-yl) n-(2-ethylphenyl)carbamate",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
78,3-(1h-indol-3-yl)-2-[4-(4-phenyl-piperidin-1-yl)-benzenesulfonylamino]-propionic acid,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
79,n-(biphenyl-4-ylsulfonyl)-d-leucine,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
80,idursulfase,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
81,"(1r)-1-{[(4'-methoxy-1,1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonic acid",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
82,n-hydroxy-1-(4-methoxyphenyl)sulfonyl-4-benzyloxycarbonyl-piperazine-2-carboxamide,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
83,porfimer sodium,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
84,"3-chloro-9-ethyl-6,7,8,9,10,11-hexahydro-7,11-methanocycloocta[b]quinolin-12-amine",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
85,hydroxyaminovaline,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
86,edrophonium,2,0,"[4, 5]",[],,,0.0,0.4285714285714285,0.0,0,0,0,1.1338934190276817,0.0
87,foreskin fibroblast (neonatal),2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
88,egaptivon pegol,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
89,batimastat,2,0,"[4, 5]",[],,,0.0,0.1428571428571428,-0.3571428571428571,0,0,0,0.3779644730092272,-1.8898223650461363
90,cts-1027,2,0,"[4, 5]",[],,,0.0,-0.4285714285714285,-0.2857142857142857,0,0,0,-1.1338934190276817,-1.511857892036909
91,coagulation factor viia recombinant human,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
92,rox-888,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
93,aluminum acetate,2,0,"[3, 5]",[],,,,,,0,0,0,0.0,0.0
94,tacrine(8)-4-aminoquinoline,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
95,urokinase,2,1,"[4, 5]",[3],,,,,,0,0,0,0.0,0.0
96,von willebrand factor human,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
97,9-cyclopentyl-6-[2-(3-imidazol-1-yl-propoxy)-phenylamino]-9h-purine-2-carbonitrile,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
98,propidium,2,0,"[4, 5]",[],,,0.0,0.7142857142857143,0.4285714285714285,0,0,0,1.8898223650461363,2.2677868380553634
99,balicatib,2,0,"[4, 5]",[],,,0.0,0.1428571428571428,0.5714285714285714,0,0,0,0.3779644730092272,3.023715784073818
100,(2r)-3-methyl-1-phenyl-2-butanyl [(2s)-1-oxo-2-hexanyl]carbamate,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
101,"n-{2-[(4'-cyano-1,1'-biphenyl-4-yl)oxy]ethyl}-n'-hydroxy-n-methylurea",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
102,(2r)-2-(3-biphenylyl)-n-{(2r)-2-hydroxy-3-[(2-pyridinylsulfonyl)amino]propyl}-4-methylpentanamide,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
103,[[1-[n-hydroxy-acetamidyl]-3-methyl-butyl]-carbonyl-leucinyl]-alanine ethyl ester,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
104,1-(phenylmethyl)cyclopentyl[(1s)-1-formylpentyl]carbamate,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
105,l-778123,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
106,fkb-001,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
107,methyl methylsulfinylmethyl sulfide,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
108,ethanesulfonic acid,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
109,"l-alanyl-n-[(1s,2r)-1-benzyl-2-hydroxypropyl]-l-alaninamide",2,1,"[3, 4]",[5],,,,,,0,0,0,0.0,0.0
110,4-methyl-umbelliferyl-n-acetyl-chitobiose,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
111,simoctocog alfa,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
112,susoctocog alfa,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
113,"pyrimidine-4,6-dicarboxylic acid bis-[(pyridin-3-ylmethyl)-amide]",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
114,methylphosphinic acid,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
115,n-[3-(n'-hydroxycarboxamido)-2-(2-methylpropyl)-propanoyl]-o-tyrosine-n-methylamide,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
116,ferric cation,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
117,(s)-tacrine(10)-hupyridone,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
118,"1-ethyl-pyrrolidine-2,5-dione",2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
119,ganstigmine,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
120,galsulfase,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
121,"dibenzyl (carbonylbis{2,1-hydrazinediyl[(2s)-4-methyl-1-oxo-1,2-pentanediyl]})biscarbamate",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
122,trc093,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
123,lefradafiban,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
124,"r-2-{[4'-methoxy-(1,1'-biphenyl)-4-yl]-sulfonyl}-amino-6-methoxy-hex-4-ynoic acid",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
125,s-(dimethylarsenic)cysteine,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
126,"(3r)-4-(p-toluenesulfonyl)-1,4-thiazane-3-carboxylicacid-l-phenylalanine ethyl ester",2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
127,"(3r)-4-(p-toluenesulfonyl)-1,4-thiazane-3-carboxylicacid-l-leucine",2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
128,n-hydroxy-2-[4-(4-phenoxy-benzenesulfonyl)-tetrahydro-pyran-4-yl]-acetamide,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
129,tert-butyl 2-cyano-2-methylhydrazinecarboxylate,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
130,n-[4-(5-fluoro-6-methylpyridin-2-yl)-5-quinoxalin-6-yl-1h-imidazol-2-yl]acetamide,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
131,endostatin,2,1,"[4, 5]",[3],,,,,,0,0,0,0.0,0.0
132,4-(3-pyridin-2-yl-1h-pyrazol-4-yl)quinoline,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
133,vonicog alfa,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
134,bevacizumab,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
135,6-(cyclohexylamino)-9-[2-(4-methylpiperazin-1-yl)-ethyl]-9h-purine-2-carbonitrile,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
136,"(1s,5s,7r)-n~7~-(biphenyl-4-ylmethyl)-n~3~-hydroxy-6,8-dioxa-3-azabicyclo[3.2.1]octane-3,7-dicarboxamide",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
137,"n-hydroxy-4-[(4-methoxylphenyl)sulfonyl]-2,2-dimethyl-hexahydro-1,4-thiazepine-3(s)-carboxamide",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
138,n-isobutyl-n-[4-methoxyphenylsulfonyl]glycyl hydroxamic acid,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
139,"5-methyl-5-(4-phenoxy-phenyl)-pyrimidine-2,4,6-trione",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
140,n2-[(benzyloxy)carbonyl]-n1-[(3s)-1-cyanopyrrolidin-3-yl]-l-leucinamide,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
141,n2-[(benzyloxy)carbonyl]-n-[(3r)-1-{n-[(benzyloxy)carbonyl]-l-leucyl}-4-oxo-3-pyrrolidinyl]-l-leucinamide,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
142,n2-({[(4-bromophenyl)methyl]oxy}carbonyl)-n1-[(1s)-1-formylpentyl]-l-leucinamide,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
143,gpi-1046,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
144,"n4-hydroxy-2-isobutyl-n1-(9-oxo-1,8-diaza-tricyclo[10.6.1.013,18]nonadeca-12(19),13,15,17-tetraen-10-yl)-succinamide",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
145,alpha-hydroxyfarnesylphosphonic acid,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
146,barnidipine,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
147,agkistrodon piscivorus antivenin,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
148,naphthyridine inhibitor,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
149,2-[methyl-(5-geranyl-4-methyl-pent-3-enyl)-amino]-ethyl-diphosphate,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
150,heparin disaccharide iii-s,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
151,n-[(4-methoxyphenyl)sulfonyl]-d-alanine,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
152,"2-[3-(5-mercapto-[1,3,4]thiadiazol-2yl)-ureido]-n-methyl-3-pentafluorophenyl-propionamide",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
153,demecarium,2,0,"[4, 5]",[],,,0.0,-0.4285714285714285,0.0,0,0,0,-1.1338934190276817,0.0
154,"n-hydroxy 1n(4-methoxyphenyl)sulfonyl-4-(z,e-n-methoxyimino)pyrrolidine-2r-carboxamide",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
155,pf-00356231,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
156,3-amino-azacyclotridecan-2-one,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
157,4-methoxybenzenesulfinate,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
158,n-[(2s)-4-methyl-1-oxo-1-{[(4s)-3-oxo-1-(2-pyridinylsulfonyl)-4-azepanyl]amino}-2-pentanyl]-1-benzofuran-2-carboxamide,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
159,dimetacrine,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
160,"{3-[3-(3,4-dimethoxy-phenyl)-1-(1-{1-[2-(3,4,5-trimethoxy-phenyl)-butyryl]-piperidin-2yl}-vinyloxy)-propyl]-phenoxy}-acetic acid",2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
161,s-777469,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
162,n~2~-(biphenyl-4-ylsulfonyl)-n-hydroxy-n~2~-(2-hydroxyethyl)glycinamide,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
163,cp-271485,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
164,4-hydroxybutan-2-one,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
165,3-formyl-2-hydroxy-5-methyl-hexanoic acid hydroxyamide,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
166,azd3409,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
167,ribostamycin,2,0,"[3, 4]",[],,,0.0,-0.4285714285714285,-0.3571428571428571,0,0,0,-1.1338934190276817,-1.8898223650461363
168,neostigmine,2,0,"[4, 5]",[],,,0.0,0.1428571428571428,0.0714285714285714,0,0,0,0.3779644730092272,0.3779644730092272
169,gpi-1485,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
170,bisphenol a diglycidyl ether,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
171,nxn-188,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
172,"undeca-3,7-diene-1,3,7,11-tetracarbaldehyde",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
173,huperzine b,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
174,"2-[4-(dimethylamino)phenyl]-6-hydroxy-3-methyl-1,3-benzothiazol-3-ium",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
175,tirofiban,2,0,"[4, 5]",[],,,0.0,0.1428571428571428,0.2142857142857142,0,0,0,0.3779644730092272,1.1338934190276817
176,potassium sulfate,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
177,pegfilgrastim,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
178,palivizumab,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
179,zanapezil,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
180,ocriplasmin,2,1,"[4, 5]",[3],,,,,,0,0,0,0.0,0.0
181,"benzyl 6-benzyl-5,7-dioxo-6,7-dihydro-5h-[1,3]thiazolo[3,2-c]pyrimidine-2-carboxylate",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
182,ambenonium,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
183,"antihemophilic factor (recombinant), pegylated",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
184,glycinamide,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
185,tert-butyl 4-({[4-(but-2-yn-1-ylamino)phenyl]sulfonyl}methyl)-4-[(hydroxyamino)carbonyl]piperidine-1-carboxylate,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
186,carotuximab,2,1,"[3, 4]",[5],,,,,,0,0,0,0.0,0.0
187,way-151693,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
188,1-deoxy-1-thio-heptaethylene glycol,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
189,tyrothricin,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
190,deslanoside,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
191,magnesium levulinate,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
192,caplacizumab,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
193,"2-(biphenyl-4-sulfonyl)-1,2,3,4-tetrahydro-isoquinoline-3-carboxylic acid",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
194,diethylene glycol diethyl ether,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
195,methylamino-phenylalanyl-leucyl-hydroxamic acid,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
196,o-benzylsulfonyl-serine,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
197,(1n)-4-n-butoxyphenylsulfonyl-(2r)-n-hydroxycarboxamido-(4s)-methanesulfonylamino-pyrrolidine,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
