,drug_name,Loss of proteostasis count,Loss of proteostasis count marg,Loss of proteostasis,Loss of proteostasis marg,Cmap pAGE Loss of proteostasis level1,Cmap pAGE Loss of proteostasis level2,Cmap pAGE Loss of proteostasis level3,Cmap pAGE Loss of proteostasis level4,Cmap pAGE Loss of proteostasis level5,Cmap pAGE Loss of proteostasis level1 z_score,Cmap pAGE Loss of proteostasis level2 z_score,Cmap pAGE Loss of proteostasis level3 z_score,Cmap pAGE Loss of proteostasis level4 z_score,Cmap pAGE Loss of proteostasis level5 z_score
34,taurochenodeoxycholic acid,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
35,"inositol 1,3,4,5-tetrakisphosphate",4,1,"[1, 2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
36,8-(pyrimidin-2-ylamino)naphthalene-2-carboximidamide,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
37,lithium succinate,4,1,"[1, 3, 4, 5]",[2],,,,,,0.0,0.0,0.0,0.0,0.0
38,perifosine,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
39,n-(1-adamantyl)-n'-(4-guanidinobenzyl)urea,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
40,5beta-dihydrotestosterone,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
41,n-(4-carbamimidoyl-3-choro-phenyl)-2-hydroxy-3-iodo-5-methyl-benzamide,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
42,"d-gluco-2,5-anhydro-1-deoxy-1-phosphonohexitol-6-phosphate",4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
43,2-amino-1h-benzimidazol-5-ol,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
44,minocycline,4,0,"[1, 2, 4, 5]",[],-1.0,-1.0,0.0,0.0666666666666666,-0.0373134328358208,-1.0,-1.0,0.0,0.2581988897471611,-0.43193421279068
45,lithium cation,4,1,"[1, 3, 4, 5]",[2],,,,,,0.0,0.0,0.0,0.0,0.0
46,7-methoxy-8-[1-(methylsulfonyl)-1h-pyrazol-4-yl]naphthalene-2-carboximidamide,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
47,"4-({(2r,5s)-2,5-dimethyl-4-[(2r)-3,3,3-trifluoro-2-hydroxy-2-methylpropanoyl]piperazin-1-yl}carbonyl)benzonitrile",3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
48,sb-409513,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
49,3-(indol-3-yl) lactate,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
50,6-fluoro-2-(2-hydroxy-3-isobutoxy-phenyl)-1h-benzoimidazole-5-carboxamidine,3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
51,"2-{2-hydroxy-[1,1'-biphenyl]-3-yl}-1h-1,3-benzodiazole-5-carboximidamide",3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
52,cariporide,3,1,"[1, 2, 3]",[4],-1.0,-1.0,-1.0,-0.2,0.0373134328358208,-1.0,-1.0,-2.0,-0.7745966692414835,0.43193421279068
53,tenecteplase,3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
54,"(2r,3r)-n^1^-[(1s)-2,2-dimethyl-1-(methylcarbamoyl)propyl]-n^4^-hydroxy-2-(2-methylpropyl)-3-{[(1,3-thiazol-2-ylcarbonyl)amino]methyl}butanediamide",3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
55,resveratrol,3,0,"[1, 2, 4]",[],1.0,1.0,0.0,-0.2,-0.1492537313432835,1.0,1.0,0.0,-0.7745966692414835,-1.72773685116272
56,epicaptopril,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
57,cra_10655,3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
58,cra_8696,3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
59,ar-ao-14418,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
60,benzoylformic acid,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
61,cilazaprilat,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
62,(2s)-2-hydroxyoctanoic acid,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
63,"3-[3-(2,3-dihydroxy-propylamino)-phenyl]-4-(5-fluoro-1-methyl-1h-indol-3-yl)-pyrrole-2,5-dione",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
64,zinc substituted heme c,3,0,"[1, 2, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
65,"2-(1,3-benzodioxol-5-yl)-5-[(3-fluoro-4-methoxybenzyl)sulfanyl]-1,3,4-oxadiazole",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
66,2-(2-hydroxy-phenyl)-3h-benzoimidazole-5-carboxamidine,3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
67,benzamidine,3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
68,"3-decyl-2,5-dioxo-4-hydroxy-3-pyrroline",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
69,"4-carboxy-5-(1-pentyl)hexylsulfanyl-1,2,3-triazole",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
70,6-chloro-2-(2-hydroxy-biphenyl-3-yl)-1h-indole-5-carboxamidine,3,0,"[2, 3, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
71,trimethyllysine,3,0,"[1, 2, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
72,magnesium gluconate,3,1,"[2, 3, 4]",[1],,,,,,0.0,0.0,0.0,0.0,0.0
73,2-(thiomethylene)-4-methylpentanoic acid,3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
74,isotretinoin,3,0,"[1, 2, 4]",[],-1.0,-1.0,-0.5,-0.4666666666666667,-0.0298507462686567,-1.0,-1.0,-1.0,-1.807392228230128,-0.345547370232544
75,zofenopril,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
76,bromhexine,3,0,"[3, 4, 5]",[],-1.0,-1.0,-0.5,0.3333333333333333,-0.1119402985074626,-1.0,-1.0,-1.0,1.2909944487358056,-1.2958026383720402
77,n-[(furan-2-yl)carbonyl]-(s)-leucyl-(r)-[1-amino-2(1h-indol-3-yl)ethyl]-phosphonic acid,3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
78,tideglusib,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
79,enalaprilat,3,0,"[3, 4, 5]",[],-1.0,-1.0,0.0,0.0666666666666666,0.0,-1.0,-1.0,0.0,0.2581988897471611,0.0
80,lithium citrate,3,2,"[1, 3, 4]","[2, 5]",,,,,,0.0,0.0,0.0,0.0,0.0
81,rescinnamine,3,0,"[3, 4, 5]",[],1.0,1.0,0.5,0.0666666666666666,0.0149253731343283,1.0,1.0,1.0,0.2581988897471611,0.172773685116272
82,hyaluronidase (human recombinant),3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
83,hyaluronidase,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
84,"5-(dodecylthio)-1h-1,2,3-triazole-4-carboxylic acid",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
85,"3,20-pregnanedione",3,0,"[1, 2, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
86,furoyl-leucine,3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
87,"1d-myo-inositol 1,4,5-trisphosphate",3,0,"[1, 2, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
88,n-(2-aminoethyl)-1-aziridineethanamine,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
89,2-(2-hydroxy-5-methoxy-phenyl)-1h-benzoimidazole-5-carboxamidine,3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
90,4-iodobenzo[b]thiophene-2-carboxamidine,3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
91,n-sulfo-flavin mononucleotide,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
92,amrinone,3,1,"[1, 2, 3]",[4],-1.0,-1.0,0.0,-0.4666666666666667,-0.0746268656716417,-1.0,-1.0,0.0,-1.807392228230128,-0.86386842558136
93,"6-(4-{[2-(3-iodobenzyl)-3-oxocyclohex-1-en-1-yl]amino}phenyl)-5-methyl-4,5-dihydropyridazin-3(2h)-one",3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
94,"(2r)-n-{4-[ethyl(phenyl)sulfamoyl]-2-methylphenyl}-3,3,3-trifluoro-2-hydroxy-2-methylpropanamide",3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
95,{4-[(2r)-pyrrolidin-2-ylmethoxy]phenyl}(4-thiophen-3-ylphenyl)methanone,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
96,es-936,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
97,rh-1,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
98,"5-methoxy-1,2-dimethyl-3-(phenoxymethyl)indole-4,7-dione",3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
99,"3-hydroxymethyl-5-aziridinyl-1methyl-2-[1h-indole-4,7-dione]-propanol",3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
100,pyrazolanthrone,3,1,"[1, 2, 3]",[4],-1.0,-1.0,0.5,0.2,0.0149253731343283,-1.0,-1.0,1.0,0.7745966692414835,0.172773685116272
101,amuvatinib,3,2,"[1, 2, 3]","[4, 5]",1.0,1.0,0.5,0.2,0.0074626865671641,1.0,1.0,1.0,0.7745966692414835,0.086386842558136
102,n-benzyl-4-[(2r)-pyrrolidin-2-ylmethoxy]aniline,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
103,dg051,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
104,"4-(2-amino-1,3-thiazol-4-yl)phenol",3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
105,kelatorphan,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
106,tazarotene,3,0,"[1, 2, 3]",[],-1.0,-1.0,0.0,0.2,0.0,-1.0,-1.0,0.0,0.7745966692414835,0.0
107,lgd-1550,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
108,endostatin,3,0,"[1, 2, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
109,"1-(2,2'-bithiophen-5-yl)methanamine",3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
110,"5-[1-(4-methoxyphenyl)-1h-benzimidazol-6-yl]-1,3,4-oxadiazole-2(3h)-thione",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
111,5-[2-(1h-pyrrol-1-yl)ethoxy]-1h-indole,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
112,nidufexor,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
113,zinc protoporphyrin,3,0,"[1, 2, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
114,1-(4-thiophen-2-ylphenyl)methanamine,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
115,(4-fluorophenyl)(pyridin-4-yl)methanone,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
116,tropifexor,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
117,(2s)-2-amino-5-oxo-5-[(4-phenylmethoxyphenyl)amino]pentanoic acid,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
118,(r)-pyridin-4-yl[4-(2-pyrrolidin-1-ylethoxy)phenyl]methanol,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
119,omapatrilat,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
120,ljp 1082,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
121,n-[4-(benzyloxy)phenyl]glycinamide,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
122,n-(2-aminoethyl)-2-{3-chloro-4-[(4-isopropylbenzyl)oxy]phenyl} acetamide,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
123,bryostatin 1,3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
124,alanosine,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
125,"(7s)-2-(2-aminopyrimidin-4-yl)-7-(2-fluoroethyl)-1,5,6,7-tetrahydro-4h-pyrrolo[3,2-c]pyridin-4-one",3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
126,candoxatril,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
127,6-bromoindirubin-3'-oxime,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
128,tirofiban,2,0,"[1, 2]",[],1.0,1.0,0.5,0.3333333333333333,0.0149253731343283,1.0,1.0,1.0,1.2909944487358056,0.172773685116272
129,deamido-nad+,2,1,"[1, 2]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
130,darodipine,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
131,capsaicin,2,0,"[3, 4]",[],1.0,1.0,-0.5,0.3333333333333333,0.0373134328358208,1.0,1.0,-1.0,1.2909944487358056,0.43193421279068
132,dihydroquinidine barbiturate,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
133,fendiline,2,0,"[3, 4]",[],1.0,1.0,-0.5,-0.2,-0.0074626865671641,1.0,1.0,-1.0,-0.7745966692414835,-0.086386842558136
134,methohexital,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
135,"1-ethyl-pyrrolidine-2,5-dione",2,1,"[1, 2]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
136,laquinimod,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
137,rifalazil,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
138,midecamycin,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
139,fluprednisolone acetate,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
140,fluprednisolone,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
141,selenazole-4-carboxyamide-adenine dinucleotide,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
142,n-cyclohexyl-n'-(4-iodophenyl)urea,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
143,ferrous gluconate,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
144,ancestim,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
145,afimoxifene,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
146,carbomycin,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
147,pinacidil,2,0,"[3, 4]",[],1.0,1.0,0.0,0.3333333333333333,0.0597014925373134,1.0,1.0,0.0,1.2909944487358056,0.691094740465088
148,dalfopristin,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
149,benzenesulfinic acid,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
150,virginiamycin s1,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
151,eprinomectin,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
152,4-{[(cyclohexylamino)carbonyl]amino}butanoic acid,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
153,12-bromododecanoic acid,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
154,calanolide a,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
155,indalpine,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
156,lefradafiban,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
157,elvitegravir,2,0,"[3, 4]",[],-1.0,-1.0,0.5,0.0666666666666666,-0.0298507462686567,-1.0,-1.0,1.0,0.2581988897471611,-0.345547370232544
158,6-hydroxyuridine-5'-phosphate,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
159,equilenin,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
160,abivertinib,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
161,eptifibatide,2,0,"[1, 2]",[],1.0,1.0,1.0,0.4666666666666667,-0.0746268656716417,1.0,1.0,2.0,1.807392228230128,-0.86386842558136
162,"1-benzyl-3-(4-methoxyphenylamino)-4-phenylpyrrole-2,5-dione",2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
163,ar-9281,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
164,indirubin-3'-monoxime,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
165,chlormadinone,2,0,"[3, 4]",[],-1.0,-1.0,-0.5,-0.0666666666666666,-0.1492537313432835,-1.0,-1.0,-1.0,-0.2581988897471611,-1.72773685116272
166,9-aminocamptothecin,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
167,emricasan,2,0,"[4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
168,3'-oxo-adenosine,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
169,grapefruit,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
170,lestaurtinib,2,0,"[3, 4]",[],-1.0,-1.0,0.0,0.0666666666666666,-0.0149253731343283,-1.0,-1.0,0.0,0.2581988897471611,-0.172773685116272
171,alitretinoin,2,0,"[1, 2]",[],1.0,1.0,0.0,-0.2,-0.0970149253731343,1.0,1.0,0.0,-0.7745966692414835,-1.123028953255768
172,rokitamycin,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
173,eperisone,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
174,"2-(6-hydroxy-1,3-benzothiazol-2-yl)-1,3-thiazol-4(5h)-one",2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
175,1-(adamantan-1-yl)-2-(1h-imidazol-1-yl)ethanone,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
176,hydroxyprogesterone,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
177,sn-glycerol 3-phosphate,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
178,"1-({2-[2-(4-chlorophenyl)ethyl]-1,3-dioxolan-2-yl}methyl)-1h-imidazole",2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
179,selamectin,2,0,"[3, 4]",[],-1.0,-1.0,-1.0,-0.4666666666666667,0.0746268656716417,-1.0,-1.0,-2.0,-1.807392228230128,0.86386842558136
180,penfluridol,2,0,"[3, 4]",[],-1.0,-1.0,-0.5,0.0666666666666666,0.0373134328358208,-1.0,-1.0,-1.0,0.2581988897471611,0.43193421279068
181,promegestone,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
182,muraglitazar,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
183,melengestrol,2,0,"[3, 4]",[],-1.0,-1.0,-1.0,-0.3333333333333333,-0.2462686567164179,-1.0,-1.0,-2.0,-1.2909944487358056,-2.8507658044184883
184,solithromycin,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
185,eravacycline,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
186,n-[(cyclohexylamino)carbonyl]glycine,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
187,epofolate,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
188,kos-1584,2,0,"[3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
