,GeneId,aging_mechanisms,criteria,confidence,aging_mechanisms_group
56,ADCY5,other,"[""'Changes in gene activity extend mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'""]",2,other
57,ADD3,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
58,ADGRE1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
59,ADGRE5,'sterile inflammation',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
60,ADGRE5,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
61,ADGRL1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
62,ADH1A,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
63,ADH1B,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
64,ADIPOQ,'AMPK pathway dysregulation',"[""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Association of genetic variants and gene expression levels with longevity'""]",4,Deregulated nutrient sensing
65,ADIPOQ,'changes in the extracellular matrix structure',"[""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Association of genetic variants and gene expression levels with longevity'""]",4,Changes in the extracellular matrix structure
66,ADIRF,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
67,ADK,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
68,ADPRS,'nuclear DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Genomic instability
69,ADRA1A,'intercellular communication impairment',"[""'Changes in gene activity extend mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Association of genetic variants and gene expression levels with longevity'""]",1,Altered intercellular communication
70,ADRA1B,'intercellular communication impairment',"[""'Changes in gene activity reduce mammalian lifespan'""]",5,Altered intercellular communication
71,ADRB2,'transcriptional alterations',"[""'Association of genetic variants and gene expression levels with longevity'""]",5,Epigenetic alterations
72,ADRB2,'AMPK pathway dysregulation',"[""'Association of genetic variants and gene expression levels with longevity'""]",5,Deregulated nutrient sensing
73,AFG1L,'impairment of the mitochondrial integrity and biogenesis',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
74,AGER,'sterile inflammation',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Association of genetic variants and gene expression levels with longevity'""]",4,Altered intercellular communication
75,AGFG1,'nuclear architecture impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Genomic instability
76,AGFG2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
77,AGO2,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
78,AGO4,'nuclear DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Genomic instability
79,AGPAT1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
80,AGT,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
81,AGTR1,'sterile inflammation',"[""'Changes in gene activity extend mammalian lifespan'"", ""'Association of genetic variants and gene expression levels with longevity'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Regulation of genes associated with aging'""]",1,Altered intercellular communication
82,AHCYL1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
83,AHCYL2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
84,AHNAK,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
85,AHR,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
86,AHSP,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
87,AIDA,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
88,AIF1,'sterile inflammation',"[""'Association of genetic variants and gene expression levels with longevity'""]",5,Altered intercellular communication
89,AIF1,'intercellular communication impairment',"[""'Association of genetic variants and gene expression levels with longevity'""]",5,Altered intercellular communication
90,AIFM1,'nuclear DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Genomic instability
91,AIFM1,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
92,AIFM1,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
93,AIP,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
94,AK2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
95,AKAP13,'AMPK pathway dysregulation',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Deregulated nutrient sensing
96,AKAP7,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
97,AKAP8,'nuclear DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Genomic instability
98,AKAP9,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
99,AKR1C2,'accumulation of reactive oxygen species',"[""'Association of genetic variants and gene expression levels with longevity'""]",5,Mitochondrial dysfunction
100,AKT1,'transcriptional alterations',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity extend mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Regulation of genes associated with aging'"", ""'Association of genetic variants and gene expression levels with longevity'""]",1,Epigenetic alterations
101,AKT1,'degradation of proteolytic systems',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity extend mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Regulation of genes associated with aging'"", ""'Association of genetic variants and gene expression levels with longevity'""]",1,Loss of proteostasis
102,AKT1,'TOR pathway dysregulation',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity extend mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Regulation of genes associated with aging'"", ""'Association of genetic variants and gene expression levels with longevity'""]",1,Deregulated nutrient sensing
103,AKT1,'INS/IGF-1 pathway dysregulation',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity extend mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Regulation of genes associated with aging'"", ""'Association of genetic variants and gene expression levels with longevity'""]",1,Deregulated nutrient sensing
104,AKT1,'impairment of the mitochondrial integrity and biogenesis',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity extend mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Regulation of genes associated with aging'"", ""'Association of genetic variants and gene expression levels with longevity'""]",1,Mitochondrial dysfunction
105,AKT1,'sterile inflammation',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity extend mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Regulation of genes associated with aging'"", ""'Association of genetic variants and gene expression levels with longevity'""]",1,Altered intercellular communication
106,AKT1S1,'TOR pathway dysregulation',"[""'Association of genetic variants and gene expression levels with longevity'"", ""'Age-related changes in gene expression, methylation or protein activity'""]",5,Deregulated nutrient sensing
107,AKT2,'INS/IGF-1 pathway dysregulation',"[""'Changes in gene activity extend mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",2,Deregulated nutrient sensing
108,AKT3,'mitochondrial DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",3,Genomic instability
109,AKT3,'TOR pathway dysregulation',"[""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",3,Deregulated nutrient sensing
110,AKT3,'impairment of the mitochondrial integrity and biogenesis',"[""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",3,Mitochondrial dysfunction
111,AKT3,'senescent cells accumulation',"[""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",3,Cell senescence
112,AKTIP,'nuclear DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Genomic instability
113,ALB,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity extend mammalian lifespan'""]",2,Altered intercellular communication
114,ALDH1B1,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
115,ALDH4A1,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
116,ALDH6A1,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
117,ALDH9A1,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
118,ALKBH7,'nuclear DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Genomic instability
119,ALKBH7,'impairment of the mitochondrial integrity and biogenesis',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
120,ALKBH7,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
121,ALOX12,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity'""]",5,Mitochondrial dysfunction
122,ALOX5AP,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
123,ALOX5AP,'sterile inflammation',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
124,ALPK3,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
125,AMOT,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
126,AMOTL2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
127,ANAPC5,'degradation of proteolytic systems',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Loss of proteostasis
128,ANK2,'intercellular communication impairment',"[""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",4,Altered intercellular communication
129,ANK3,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
130,ANKRD13C,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
131,ANP32B,'chromatin remodeling',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
132,ANXA1,'nuclear DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Genomic instability
133,ANXA1,'sterile inflammation',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
134,ANXA3,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
135,ANXA4,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
136,ANXA5,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
137,ANXA7,'disabled macroautophagy',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Disabled macroautophagy
138,AOX1,'accumulation of reactive oxygen species',"[""'Association of genetic variants and gene expression levels with longevity'""]",5,Mitochondrial dysfunction
139,AP2B1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
140,AP3S1,'INS/IGF-1 pathway dysregulation',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Deregulated nutrient sensing
141,AP4S1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
142,APBB1,'nuclear DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Genomic instability
143,APBB1,'alterations in histone modifications',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
144,APBB1,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
145,APBB3,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
146,APC,'nuclear DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity'""]",5,Genomic instability
147,APC,'degradation of proteolytic systems',"[""'Age-related changes in gene expression, methylation or protein activity'""]",5,Loss of proteostasis
148,APC,'INS/IGF-1 pathway dysregulation',"[""'Age-related changes in gene expression, methylation or protein activity'""]",5,Deregulated nutrient sensing
149,APEX1,'nuclear DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",5,Genomic instability
150,APEX1,'telomere attrition',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",5,Telomere attrition
151,APEX1,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",5,Epigenetic alterations
152,APEX1,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",5,Mitochondrial dysfunction
153,API5,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
154,APOB,other,"[""'Association of genetic variants and gene expression levels with longevity'""]",5,other
155,APOBEC3A,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
156,APOBEC3G,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
157,APOC1,other,"[""'Association of genetic variants and gene expression levels with longevity'""]",5,other
158,APOC3,other,"[""'Association of genetic variants and gene expression levels with longevity'""]",5,other
159,APOD,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
160,APOE,'intercellular communication impairment',"[""'Association of genetic variants and gene expression levels with longevity'"", ""'Changes in gene activity reduce mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'""]",4,Altered intercellular communication
161,APP,'transcriptional alterations',"[""'Changes in gene activity enhance age-related deterioration'"", ""'Age-related changes in gene expression, methylation or protein activity'""]",5,Epigenetic alterations
162,APPBP2,'degradation of proteolytic systems',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Loss of proteostasis
163,AR,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Changes in gene activity reduce mammalian lifespan'""]",5,Epigenetic alterations
164,AR,'INS/IGF-1 pathway dysregulation',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Changes in gene activity reduce mammalian lifespan'""]",5,Deregulated nutrient sensing
165,AR,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Changes in gene activity reduce mammalian lifespan'""]",5,Altered intercellular communication
166,ARAP3,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
167,ARF3,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
168,ARFGAP2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
169,ARFGEF1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
170,ARFIP1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
171,ARHGAP1,other,"[""'Changes in gene activity reduce mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",4,other
172,ARHGAP29,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
173,ARHGAP35,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
174,ARHGAP45,other,"[""'Association of genetic variants and gene expression levels with longevity'""]",5,other
175,ARHGEF18,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
176,ARHGEF3,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
177,ARHGEF5,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
178,ARHGEF6,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
179,ARHGEF7,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
180,ARHGEF9,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
181,ARIH1,'degradation of proteolytic systems',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Loss of proteostasis
182,ARL2BP,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
183,ARMCX3,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
184,ARMCX3,'impairment of the mitochondrial integrity and biogenesis',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
185,ARPC5L,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
186,ARPP19,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
187,ARPP21,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
188,ASB12,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
189,ASB17,other,"[""'Association of genetic variants and gene expression levels with longevity'""]",5,other
190,ASCC1,'nuclear DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Genomic instability
191,ASCL1,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
192,ASF1A,'nuclear DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Genomic instability
193,ASF1A,'chromatin remodeling',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
194,ASIC2,'intercellular communication impairment',"[""'Association of genetic variants and gene expression levels with longevity'""]",5,Altered intercellular communication
195,ASL,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
196,ASMTL,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
197,ASXL1,'alterations in histone modifications',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
198,ASXL1,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
199,ASXL1,'degradation of proteolytic systems',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Loss of proteostasis
200,ATF2,'nuclear DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in non-mammals'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Regulation of genes associated with aging'""]",5,Genomic instability
201,ATF2,'alterations in histone modifications',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in non-mammals'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Regulation of genes associated with aging'""]",5,Epigenetic alterations
